,id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,formations,competences,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,accessibleTH,qualificationCode,qualificationLibelle,secteurActivite,secteurActiviteLibelle,qualitesProfessionnelles,offresManqueCandidats,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.entrepriseAdaptee,salaire.libelle,contact.nom,contact.coordonnees1,contact.courriel,origineOffre.origine,origineOffre.urlOrigine,entreprise.description,origineOffre.partenaires,contact.urlPostulation,salaire.commentaire,salaire.complement1,contact.commentaire,langues,entreprise.logo,entreprise.url,contact.coordonnees2,contact.coordonnees3,deplacementCode,deplacementLibelle,agence.courriel
0,128YGXG,Data et Pricing Analyst (H/F),"Vous contribuez à projeter et à piloter la performance commerciale de l'entreprise à travers vos analyses de marge et de politiques tarifaires. Vos missions dans ce contexte seront :
- Analyser les sources de données internes liées au Pricing et en contrôler la fiabilité
- Participer au développement de méthodes et process pour suivre l'activité et la performance commerciale.
- Définir les outils de suivi et d'analyse et les produire afin de fournir un soutien aux Directeur régionaux des Ventes dans le pilotage de leur région.
- Optimiser les processus et automatiser les tâches récurrentes.
- Accompagner les opérationnels dans l'analyse et les prises de décisions liées à la performance commerciale.
- Accompagner les opérationnels dans l'utilisation des tableaux de bord.
- Produire les matrices de préparation budgétaire, en relation avec le département finance.
- Analyser la cohérence de la politique tarifaire par gamme produits /clients.
- Construire et alimenter les outils de suivi et d'analyse de la performance commerciale.
- Concevoir, optimiser et analyser les matrices de suivi de rentabilité

Vous êtes issu(e) d'une formation Bac + 2 à Bac + 5 intégrant une forte dimension statistique et/ou analyse/Crunshing de Data et avez une expérience similaire de 3 ou 4 ans minimum. Vous êtes curieux de découvrir notre secteur d'activité et notre marché, votre vision opérationnelle sera un vrai atout dans la réussite de ce projet.
La maitrise des fonctions avancées d'EXCEL est indispensable. Vous avez idéalement travailler avec un CRM.
La pratique de l'Anglais et / ou de l'Allemand sera nécessaire pour travailler en lien avec notre groupe.
Proximité Nantes

 

- 13eme mois en cous de mise en place
- Tickets Restaurants
- Intéressement et Participation
- Avantages CSE",2022-03-01T15:20:39.000Z,2022-03-01T15:20:40.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDI,Contrat à durée indéterminée,Contrat travail,E,3 ans,"[{'niveauLibelle': 'Bac+2 ou équivalents', 'exigence': 'E'}]","[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ..."", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}, {'code': '122609', 'libelle': ""Définir les méthodes et les outils de traitement de l'information"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,1,False,9,Cadre,78,Activités des agences de placement de main-d'œuvre,"[{'libelle': 'Force de proposition', 'description': 'Capacité à être proactif, à initier, à imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou pour améliorer une situation. Exemple : proposer des améliorations, être positif et constructif'}, {'libelle': 'Autonomie', 'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable'}, {'libelle': 'Rigueur', 'description': ""Capacité à respecter les règles et codes de l'entreprise, à réaliser des tâches en suivant avec précision les procédures et instructions fournies , à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction""}]",False,85 - LA COPECHAGNIERE,46.850779,-1.348826,85260,85072,OU EST CHARLIE RECRUTEMENT,False,"Annuel de 40000,00 Euros à 55000,00 Euros sur 12 mois",OU EST CHARLIE RECRUTEMENT - Mme Nouara BOUKHANOUFA,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128YGXG","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128YGXG",1,https://candidat.pole-emploi.fr/offres/recherche/detail/128YGXG,,,,,,,,,,,,,,
1,9993655,Responsable Organisation Data F/H (H/F),"Rejoignez la Direction Technologie et Système d'Information du Groupe Covéa et plus précisément l'équipe « Offre de services Data », rattachée à la structure « TSI Data et Usages » en tant que Responsable Conseil / Organisation F/H.
 
 L'équipe « Offre de services Data » est une nouvelle équipe qui sera créée dans le cadre de l'évolution de l'organisation du département TSI Data et Usages et effective à compter du 1er septembre 2021. Elle sera prochainement composée d'un manager et de 4 collaborateurs / collaboratrices en charge de porter l'offre de services data de Covéa et qui seront pour cela en lien avec de nombreux interlocuteurs Métiers et DTSI. Ce poste est à pourvoir sur le site de Californie au Mans.
 
 Votre mission ?
 
 Endosser le rôle de Business Partner auprès des Directions Métiers sur le volet Data
 
 Être garant de l'offre de services de la TSI Data et Usages de Covéa
 
 Construire et porter l'offre de services pour tous les domaines de la data et de la BI ainsi que le catalogue de services associés
 
 Accompagner la transformation data en cohérence avec le Schéma Directeur du Système d'Informations de Covéa
 
 Et concrètement ?
 
 Formaliser l'offre de services de l'ensemble de la TSI Data et Usages, la communiquer aux équipes métier et DTSI et veiller à sa bonne utilisation / application
 
 Porter la déclinaison du SDSI sur le périmètre data et accompagner sa démultiplication et son appropriation
 
 Contribuer à l'élaboration des cibles et des trajectoires de transformation data
 
 Conseiller et accompagner, avec l'aide des équipes Conseil Métiers et Projets Data, les Directions métier sur l'alignement de leur SI avec la stratégie métier Data.
Qui êtes-vous ?
 
 BAC +5 avec a minima 5 ans d'expériences professionnelles
 

 * Compétences techniques :
 Une bonne connaissance des technologies et des outils décisionnels et big data
 
 Une expérience de pilotage de projets métiers autour de la donnée et des usages avec une coordination multi-métiers
 

 * Compétences comportementales :
 Autonomie
 
 Sens de l'organisation, capacité à gérer plusieurs sujets en parallèle et agilité
 
 Sens du service et du travail en équipe
 
 Planification et organisation
 
 Rigueur et ténacité
 
 Aisance relationnelle et communication
 
 Force de proposition
 
 Esprit d'analyse et de synthèse

 Parce que chez Covéa, nous sommes attachés à la diversité dans nos recrutements et à l'égalité des chances, nous vous offrons, à compétences égales, les mêmes possibilités de parcours professionnels ! ",2022-03-01T05:55:53.000Z,2022-03-01T05:55:53.000Z,M1402,Conseil en organisation et management d'entreprise,Responsable des projets organisation,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 4 An(s),,,,,False,1,False,,,65,Autres assurances,,,72 - LE MANS,47.988525,0.20003,,72181,Covea,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9993655,"Envie de choisir votre avenir par passion ou par raison ? Et pourquoi pas les deux ?
Covéa , c'est un groupe d'assurances puissant réunissant trois marques complémentaires (MAAF, MMA, GMF).
C'est également 21 000 collaborateurs qui mettent en commun leur talent et leur enthousiasme pour accompagner nos clients sociétaires et construire le futur de l'assurance.

Alors, envie de construire le futur ? Rejoignez-nous ","[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=Ti5MZW1vaW5lLjM4ODM1LjY3MDZAY292ZWFmci5hcGxpdHJhay5jb20', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",,,,,,,,,,,,
2,128VWSH,Data controleur (H/F),"Au sein du bureau de FITECO Mayenne, composé de 45 personnes, vous serez rattaché aux experts-comptables associés.

Vous prendrez en charge la responsabilité opérationnelle d'assistants comptables dédié et la gestion d'un portefeuille constitué de TPE / PME. 

Vous êtes l'interlocuteur privilégié de vos clients et en lien avec l'Expert-Conseil, vous prendrez en charge les missions suivantes :
- L'accompagnement et le conseil client sur les aspects réglementaires, leur gestion quotidienne (tableau de bord, budget de trésorerie) et le développement de leur entreprise,
- La révision et déclaration fiscale de dossiers et autres éléments déclaratifs associés en lien avec le data assistant, 
- La préparation du bilan, les travaux d'inventaire, la réalisation des plaquettes et des déclarations fiscales annuelles, en vous appuyant d'un expert-comptable au quotidien et sur notre outils MyFITECO,
- Assurer les rendez-vous clients dans la mise en place de l'organisation digitalisée avec le cabinet.

Vous serez amené à rendre visite aux clients afin d'assurer une relation personnalisée et de proximité.
Vous apporterez une aide technique à l'équipe et favoriserez le partage d'expérience.

Les indispensables : 
-Vous êtes diplômé d'études supérieures type Bac+2 en comptabilité, 
-Vous avez une expérience de 3 ans accompagnée d'une expérience managériale, 
-Vous êtes à l'aise avec la digitalisation, vous avez le sens du service client et vous êtes doté d'un excellent relationnel. 

Nous vous proposons : 
-Un poste en CDI en temps pleins (38h00) au sein de nos locaux à Mayenne, 
-Des horaires flexibles, permettant un équilibre entre votre vie professionnelle et personnelle,
-Une rémunération à partir de 28000 € brut annuel selon expérience,
- La construction d'un plan de carrière évolutif,
-Un management participatif et une équipe dynamique,
-Les avantages : CSE, participation 

N'hésitez plus, rejoignez FITECO Mayenne ! 
",2022-02-28T11:48:17.000Z,2022-02-28T11:48:19.000Z,M1202,Audit et contrôle comptables et financiers,Contrôleur(se) comptable et financier(ère),CDI,Contrat à durée indéterminée,Contrat travail,E,3 ans,,,39H Horaires normaux,Temps plein,False,1,False,8,Agent de maîtrise,69,Activités comptables,"[{'libelle': 'Travail en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l'aide""}, {'libelle': ""Sens de l'organisation"", 'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité'}, {'libelle': 'Rigueur', 'description': ""Capacité à respecter les règles et codes de l'entreprise, à réaliser des tâches en suivant avec précision les procédures et instructions fournies , à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction""}]",False,53 - MAYENNE,48.303387,-0.617261,53100,53147,FITECO,False,"Annuel de 22000,00 Euros sur 12 mois",,https://recrute.fiteco.com/emplois/comptabilite-gestion-fr/1043-data-controleur-h-f-fr/,,1,https://candidat.pole-emploi.fr/offres/recherche/detail/128VWSH,,,https://recrute.fiteco.com/emplois/comptabilite-gestion-fr/1043-data-controleur-h-f-fr/,,,,,,,,,,,
3,9956699,Expert Conception et architecture de données d'entreprise (Data Designer) H/F - 1-0003311,"Mission :
Au sein du service Architecture de la DSI de la banque des territoires et dans l'équipe « modélisation des données et des échanges », vous êtes responsable de construire et maintenir un modèle de données d'entreprise performante et commune à l'ensemble du SI de la Banque des Territoires, de diffuser les règles et les bonnes pratiques qui les régissent ainsi que de les faire évoluer.
Vous êtes le référent du domaine SI Banque des Territoires et Moyens de Paiement sur les sujets d'expertise de la donnée vis-à-vis des métiers mais également l'ensemble des parties prenantes de la DSI.
Vous prenez en charge les évolutions des modèles de données d'entreprise en lien avec les équipes projets et les architectes du domaine.
Vous assurez l'expertise et la supervision des méthodes et des standards de modélisation de données au sein des produits SI en lien avec le Data Office de la Banque des Territoires.
Activités :
Participer à la mise en place de la gouvernance et la classification des données d'entreprise avec toutes les parties prenantes (équipes SI métiers, SI data, Architectes, Data Office, .)
Construire, enrichir et maintenir le dictionnaire et les modèles de données de référence pour l'ensemble de la Banque des Territoires
Contribuer aux études d'architecture dans la description, l'usage et les impacts des données
Être garant des normes et des standards de modélisation définis par le domaine BDT
Mettre en place et faire évoluer les modèles de données des systèmes d'échange inter et intra produits de type API Gateway ou Bus de données
Donner de la visibilité à toutes nos parties prenantes sur les évolutions des données et modèles de données ainsi que les socles technologiques mis en place au sein de l'établissement public
Être le point d'appui de l'ensemble des parties prenantes de l'écosystème Data (Data Office, Équipe Data, Socle Technologique, .) sur les volets modélisation et méthode
Participer aux analyses d'impacts des modèles de données du SI en lien avec les Architectes de l'équipe : processus métier et SI, urbanisation et rationalisation du SI, cohérence fonctionnelle, impacts applicatifs, .
Planifier, organiser, établir et suivre les plans de conception et de livraison de modèles de données en lien avec les équipes projets
Mettre à jour les modèles et leurs documentations dans les outils référentiels (Sparx EA)
Assurer le suivi des implémentations techniques des modèles mis en œuvre avec les équipes applicatives et techniques de la Caisse des Dépôts
Poste Expert ",2022-02-28T12:30:42.000Z,2022-02-28T12:30:42.000Z,M1802,Expertise et support en systèmes d'information,Architecte technique informatique,CDD,Contrat à durée déterminée - 36 Mois,Contrat travail,E,Expérience exigée de 2 An(s),,,,,False,1,False,,,,,,,49 - Maine et Loire,,,,,,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9956699,Caisse des Dépôts et Consignations ,"[{'nom': 'PEP', 'url': 'https://place-emploi-public.gouv.fr/offre-emploi/2022-826683', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/pep80.png'}]",,,,,,,,,,,,
4,9955529,"Commercial Sédentaire Spécialiste DATA F/H - Chargé d'affaires, technico-commercial (H/F)","Descriptif du poste:

Vous intégrerez une équipe commerciale composée de commerciaux sédentaires spécialisés sur la vente de marques ou activités du groupe Itancia. Votre objectif : Devenir le référent du portefeuille de produits Data qui vous sera confié, afin de conseiller vos collègues et nos clients tout au long du processus de vente sur les caractéristiques et configurations des produits, mais également sur leurs prix et la disponibilité.
Pour cela, vous serez formé par une équipe déjà opérationnelle et bénéficierez également de formations des constructeurs.
Rattaché(e) au Responsable du Service Commercial Sédentaire, après une formation de deux à trois mois en immersion dans notre service commercial, vos missions seront les suivantes :
 
Vendre les produits et services commercialisés par le Groupe :
· Conseiller les clients sur les solutions produits et/ou service
· Vendre des produits et/ou services
· Générer des ventes additionnelles
· Rédiger les propositions de prix
 
Assurer la prospection et le développement commercial :
· Identifier les besoins immédiats et futurs des prospects
· Rédiger les propositions de prix
· Renseigner l'outil de suivi commercial CRM
· Gérer les ouvertures de compte
· Suivre les dossiers commerciaux
 
Fidéliser le portefeuille client :
· Etre à l'écoute et se rendre disponible pour les clients du secteur
· Analyser les demandes et les besoins des clients du secteur pour apporter et proposer les solutions les plus adaptées
· Faire l'interface avec les services techniques internes pour trouver les solutions spécifiques adaptées à la demande initiale des clients
· Proposer l'ensemble des produits et/ou services
 
Recueillir et renseigner dans l'outil de suivi commercial CRM toutes les informations sur l'état du marché (concurrence, tarification, constructeur, .)

Profil recherché:

H/F, vous êtes issu(e) d'une formation minimum Bac +2 dans le domaine commercial avec de fortes capacités relationnelles. Vous avez aussi un réel intérêt pour les nouvelles technologies d'informations et de communications, et de bonnes connaissances du monde des télécoms.
De plus, vous êtes parfaitement à l'aise avec l'outil informatique et notamment Excel. Vous êtes également force de proposition, vous avez le sens du client et voulez vivre des challenges. Vous gérez la relation client dans une optique de fidélisation.
Vous êtes à la recherche de nouveaux défis dans une entreprise en pleine croissance ? Le groupe ITANCIA vous accompagnera dans vos projets et contribuera à votre montée en compétences. ",2022-02-28T05:38:17.000Z,2022-02-28T05:38:17.000Z,D1407,Relation technico-commerciale,Responsable technico-commercial / technico-commerciale,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,,False,1,False,8,Agent de maîtrise,95,Réparation de produits électroniques grand public,,,49 - BEAUPREAU EN MAUGES,47.203865,-0.982956,,49023,ITANCIA,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9955529,"\nGroupe écoresponsable spécialiste des technologies de communication, collaboration, réseaux et sécurité d'entreprise, Itancia accompagne depuis plus de 30 ans ses partenaires revendeurs, intégrateurs et opérateurs dans l'adoption de pratiques responsables grâce à des solutions & services sur mesure, au plus juste équilibre entre technologie, économie et écologie.\n \nLe groupe s'appuie sur 3 piliers d'activités complémentaires, dont la maîtrise et la combinaison offrent d... ","[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167740427W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",,27 - 30 k€ brut annuel,,,,,,,,,,
5,9854545,Développeur Expert Data (H/F),"Talents IT cabinet de recrutement national spécialisé dans les métiers de l'IT et du Digital proche de ses clients et candidats est résolument tourné vers l'humain. Notre équipe soudée et toujours de bonne humeur est là pour vous conseiller et vous accompagner dans votre projet professionnel.
Nous sommes à la recherche d'un candidat pour le poste de Développeur Expert Data H/F. Notre client est groupe industriel allemand. Le poste proposé est un CDI temps plein basée à Angers.
Directement rattachées au responsable du développement applicatif, vos missions seront:
- Développement d'interfaces d'échanges de données entre divers systèmes
- Développement d'interfaces d'échanges de données avec des API
- Développement de process pour de la data intégration
- Alimentation des données sur un datawharehouse.
- Participation à la mise en place de l'architecture des bases de données.
- Archivage de données
- Développement et exposition d'API
- Support sur des projets existants
- Rédaction de spécifications techniques
- Optimisations des performances
- Veille technologique ",2022-02-25T21:50:37.000Z,2022-02-25T21:50:37.000Z,M1805,Études et développement informatique,Développeur / Développeuse informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,,False,1,False,5,Employé non qualifié,,,,,49 - ANGERS,47.466735,-0.56191,,49007,,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9854545, ,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/6956d9d40c81f576f5d83790f75aa132', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,,,,,,,
6,9853398,Data Analyst h/f (IT),"Vous travaillez en relation directe avec le client et intégrez une équipe de consultants Siderlog, vous devrez :
- Collecter les besoins et assister à la rédaction de cahiers des charges auprès des directions fonctionnelles (outils, modèles, choix d'indicateurs, )
- Concevoir et développer des applications statistiques, tableaux de bord, scoring
- Créer des algorithmes de recherche de données.
- Obtenir des données adéquates et pertinentes.
- Gérer l'administration, la modélisation et l'architecture de gisements de données.
- Interpréter les résultats des analyses sous forme de propositions et de conseils.
- Accompagner les métiers dans des ateliers de travail, réunions, formations, recettes et supports utilisateurs. ",2022-02-25T21:45:33.000Z,2022-02-25T21:45:33.000Z,M1403,Études et prospectives socio-économiques,Data scientist,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,,False,1,False,6,Employé qualifié,,,,,44 - NANTES,47.239367,-1.555335,,44109,,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9853398,,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/71376c78583d6b6a4e961e152d2328e2', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,,,,,,,
7,9840227,Assistant Comptable Data Operator F/H (H/F),"En collaboration avec l'équipe Expertise Services Conseil, constituée d'une trentaine de personnes, vous avez envie de :

 * Contribuer à la transformation numérique du cabinet, en créant (numérisation, vidéocodage, codification) et en interfaçant des données avec des outils d'intégration.
 * Etre former aux nouvelles technologies liées à notre métier
 * Travailler en mode connecté avec des outils modernes et collaboratifs et bénéficier d'un encadrement de proximité pour intervenir sur des missions variées d'expertise comptable (tenue, justification des comptes, déclarations fiscales, rapprochements bancaires.).

Et bien sûr vous épanouir au sein de notre équipe de Le Mans !
Vous êtes titulaire d'un diplôme Bac+3 (par exemple DCG ou Licence Gestion et Traitement des données).

Vous disposez idéalement d'une expérience en cabinet comptable.

Vous êtes très à l'aise avec l'outil informatique et en particulier Excel (macros, formats et transformations de données).

Vous êtes motivé par les projets de dématérialisation et le travail en équipe.

Vous vous reconnaissez dans cette description ?

. n'hésitez plus, postulez et rencontrons-nous !

Localisation :

Vous serez basé à Le Mans dans le cadre d'un contrat CDI.

N'attendez plus, rejoignez un environnement de travail de qualité où le sens du collectif est clé.

Tous nos postes sont ouverts aux personnes en situation de handicap.

BAC + 2/3, BTS, DUT, Licence ",2022-02-25T13:59:58.000Z,2022-02-25T13:59:58.000Z,M1203,Comptabilité,Comptable,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,,,69,Activités comptables,,,72 - LE MANS,47.988525,0.20003,,72181,KPMG France,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9840227, ,"[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=T1VFU1QuMDUyMDIuNjcwNkBrcG1nZnJhbmNlLmFwbGl0cmFrLmNvbQ', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",,,,,,,,,,,,
8,9838962,Assistant Comptable Data Operator F/H (H/F),"Vos challenges

En collaboration avec l'équipe Expertise Services Conseil, vous avez envie de :

 * Contribuer à la transformation numérique du cabinet, en créant (numérisation, vidéocodage, codification) et en interfaçant des données avec des outils d'intégration.
 * Etre former aux nouvelles technologies liées à notre métier
 * Travailler en mode connecté avec des outils modernes et collaboratifs et bénéficier d'un encadrement de proximité pour intervenir sur des missions variées d'expertise comptable (tenue, justification des comptes, déclarations fiscales, rapprochements bancaires.).

Et bien sûr vous épanouir au sein de notre équipe de Rezé !
Vous êtes titulaire d'un diplôme Bac+3 (par exemple DCG ou Licence Gestion et Traitement des données).

Vous disposez idéalement d'une première expérience en cabinet comptable.

Vous êtes très à l'aise avec l'outil informatique et en particulier Excel (macros, formats et transformations de données).

Vous êtes motivé par les projets de dématérialisation et le travail en équipe.

Vous vous reconnaissez dans cette description ?

. n'hésitez plus, postulez et rencontrons-nous !

Localisation :

Vous serez basé à Rezé dans le cadre d'un contrat CDI.

N'attendez plus, rejoignez un environnement de travail de qualité où le sens du collectif est clé.

Tous nos postes sont ouverts aux personnes en situation de handicap.

BAC + 2/3, BTS, DUT, Licence ",2022-02-25T13:56:48.000Z,2022-02-25T13:56:48.000Z,M1203,Comptabilité,Assistant / Assistante comptable,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,,,69,Activités comptables,,,44 - REZE,47.176235,-1.549664,,44143,KPMG France,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9838962,"Pourquoi devenir Assistant Comptable Data Operator F/H chez KPMG ?

Les métiers de l'Audit, du Conseil, de l'Expertise comptable ou du Juridique & fiscal vous attirent et vous cherchez un quotidien qui bouge ?

Au bureau, chez le client, en formation, dans notre incubateur d'intrapreneuriat ou avec notre Fondation, nous vous offrons l'environnement stimulant qui vous permettra d'exprimer votre potentiel, vos idées novatrices et vos valeurs au service de projets porteurs... ","[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=T1VFU1QuNTg4NTAuNjcwNkBrcG1nZnJhbmNlLmFwbGl0cmFrLmNvbQ', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",,,,,,,,,,,,
9,9838929,Assistant Comptable Data Operator F/H (H/F),"Vos challenges

En collaboration avec l'équipe Expertise Services Conseil, constituée d'une trentaine de personnes, vous avez envie de :

 * Contribuer à la transformation numérique du cabinet, en créant (numérisation, vidéocodage, codification) et en interfaçant des données avec des outils d'intégration.
 * Etre former aux nouvelles technologies liées à notre métier
 * Travailler en mode connecté avec des outils modernes et collaboratifs et bénéficier d'un encadrement de proximité pour intervenir sur des missions variées d'expertise comptable (tenue, justification des comptes, déclarations fiscales, rapprochements bancaires.).

Et bien sûr vous épanouir au sein de notre équipe de Nantes !
Vous êtes titulaire d'un diplôme Bac+3 (par exemple DCG ou Licence Gestion et Traitement des données).

Vous disposez idéalement d'une première expérience en cabinet comptable.

Vous êtes très à l'aise avec l'outil informatique et en particulier Excel (macros, formats et transformations de données).

Vous êtes motivé par les projets de dématérialisation et le travail en équipe.

Vous vous reconnaissez dans cette description ?

. n'hésitez plus, postulez et rencontrons-nous !

Localisation :

Vous serez basé à Nantes dans le cadre d'un contrat CDI.

N'attendez plus, rejoignez un environnement de travail de qualité où le sens du collectif est clé.

Tous nos postes sont ouverts aux personnes en situation de handicap.

BAC + 2/3, BTS, DUT, Licence ",2022-02-25T13:56:42.000Z,2022-02-25T13:56:42.000Z,M1203,Comptabilité,Assistant / Assistante comptable,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,,,69,Activités comptables,,,44 - NANTES,47.231636,-1.54831,,44109,KPMG France,False,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9838929,"Pourquoi devenir Assistant Comptable Data Operator F/H chez KPMG ?

Les métiers de l'Audit, du Conseil, de l'Expertise comptable ou du Juridique & fiscal vous attirent et vous cherchez un quotidien qui bouge ?

Au bureau, chez le client, en formation, dans notre incubateur d'intrapreneuriat ou avec notre Fondation, nous vous offrons l'environnement stimulant qui vous permettra d'exprimer votre potentiel, vos idées novatrices et vos valeurs au service de projets porteurs... ","[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=T1VFU1QuNzY3NjkuNjcwNkBrcG1nZnJhbmNlLmFwbGl0cmFrLmNvbQ', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",,,,,,,,,,,,
