,id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,alternance,nombrePostes,accessibleTH,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.commune,entreprise.description,entreprise.entrepriseAdaptee,origineOffre.origine,origineOffre.urlOrigine,origineOffre.partenaires,secteurActivite,secteurActiviteLibelle,entreprise.nom,salaire.libelle,permis,qualificationCode,qualificationLibelle,salaire.commentaire,dureeTravailLibelle,dureeTravailLibelleConverti,competences,qualitesProfessionnelles,offresManqueCandidats,lieuTravail.codePostal,entreprise.logo,entreprise.url,contact.nom,contact.coordonnees1,contact.courriel,formations,langues,contact.urlPostulation,salaire.complement1,salaire.complement2
0,0039779,Data Analyst /BI H/F,"Cafpi est le pionnier et leader français des courtisans en crédits ! Cafpi c'est un réseau commercial de plus de 1000 entrepreneurs-courtiers indépendants 240 agences en France et plus de 7, 5 milliards d'Euros de financement distribués en 2021. L'objectif : rendre le crédit immobilier toujours plus simple et plus accessible à à nous !
 En juillet 2021, Cafpi a été rachetée à ses fondateurs par le fonds de Private Equity BlackFin Capital Partners et vise aujourd'hui à devenir une Fintech avec une ambition d'hyper-croissance pour devenir le leader incontesté et incontestable sur tous les métiers.
 Dans un contexte à fort enjeu de digitalisation et des ambitions très fortes de développement, nous recherchons notre :
 Data Analyst / BI H/F - CDI
 Poste basé à Bayonne (64)
 Tu as envie d'occuper un poste stratégique ? Voici ce que nous te donnons pour relever le défi !
 - Rattaché(e) à notre Directrice Projets et Data, tu seras en charge de l'exploitation des données de l'entreprise afin d'en extraire la valeur pour aider l'ensemble de l'entreprise à prendre des décisions stratégiques et opérationnelles via des Dashboard, reportings avancés, analyses de performance. Vos journées seront rythmées par :
 * L'identification et la proposition des bons KPIs permettant de répondre aux enjeux business
 * La conception et la réalisation de reporting d'aide à la décision en apportant une attention aux enjeux de self BI, ainsi qu'à l'ergonomie des rapports
 * Le déploiement des projets de Data Vizualisation sous Power BI en priorité, l'optimisation et l'industrialisation de ces outils
 * L'accompagner les équipes métier dans la bonne compréhension et la montée en compétence sur l'exploitation des tableaux de bord mis à disposition.
 * La réalisation d'analyses spécifiques que tu prendras en charge de A à Z (compréhension des besoins, analyses, restitutions & propositions de plans d'actions) permettant d'accroître la connaissance de la société concernant sa clientèle et ses partenaires (banques, apporteurs d'affaires)
 Tu souhaites rejoindre un environnement en pleine transformation digitale / tech et travailler à proximité avec les membres du Codir et les différents services / métiers de l'entreprise.
 Ton aisance relationnelle et ton autonomie seront un atout incontournable pour t'intégrer à vitesse grand V au sein de l'équipe et partager des idées de manière constructives. Autonome, curieux tu as une bonne compréhension des enjeux business et tu seras prêt à tout mettre en œuvre pour atteindre l'objectif commun.
 Titulaire d'un Bac + 3 ou plus en Data/BI ou commerce, tu maîtrises parfaitement le code SQL, Power BI et comme déjà mis à profit tes connaissances lors d'une expérience réussie.
 CDI basé à Bayonne.
 Télétravail partiel possible
 Le processus de recrutement : Pour faire connaissance réciproquement, nous te présenterons le parcours opérationnel suivant : Un premier entretien RH Un entretien avec notre Directrice Projets et Data Puis un entretien de validation avec notre Directrice de la Transformation
 Type d'emploi : Temps plein, CDI
 Avantages :
 * Titre-restaurant
 Horaires :
 * Travail en journée
 ",2022-03-02T05:09:27.000Z,2022-03-02T05:09:27.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,False,1,False,64 - BASSUSSARRY,43.443138,-1.498608,64100, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0039779,"[{'nom': 'INDEED', 'url': 'https://www.indeed.fr/emploi/data-analyst-bi-hf-f062c21a74c35e95?from=poleemploi', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/indeed80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,
1,0037924,Data Analyst H/F,"Altima est une filiale du Groupe MAIF rattachée à la filière B2B, avec une spécialisation dans l'assurance dommages.
 Altima se définit comme la solution à destination des particuliers pour développer des offres assurance dommage via des partenaires et pour expérimenter des offres innovantes.
 Ses missions stratégiques s'articulent autour de la mise en œuvre de partenariats de distribution, du déploiement d'offres innovantes et de la sécurisation de son modèle.
 En tant que DATA ANALYST, vous êtes chargé de traiter les données à disposition de l'entreprise afin d'en extraire des informations permettant d'aiguiller la stratégie de l'entreprise et contribuer à son développement. En amont, vous êtes chargé de créer et de modéliser les bases de données de l'entreprise, puis d'assurer leur fonctionnement. C'est également votre responsabilité d'élaborer des critères de segmentation pour exploiter les données de façon optimale.
 Vous aurez en responsabilité principalement les missions suivantes :
 * Mener des études et analyses diverses, agréger des données venant de multiples sources, les analyser et en extraire des informations permettant à l'entreprise de mieux piloter ses activités et d'anticiper ses futurs besoins
 * Constituer et restituer les éléments d'analyse auprès des instances de pilotage et de suivi économique, marketing, gestion de nos partenaires,
 * Aider les services à identifier les indicateurs pertinents à suivre et piloter
 * Réaliser des prévisions d'atterrissage
 * Suivre les objectifs au regard du réalisé, analyser les écarts, proposer des plans d'actions correctives,
 * Assurer les reportings correspondants à destination des services relations clients (CRC Contrats, Sinistres, Flottes et partenaires) puis synthétiser et vulgariser les informations pour les rendre accessibles
 * Modéliser et assurer les mises à jour régulières des bases de données et une fiabilité de la qualité des données
 Profil recherché : 
 De formation de niveau Bac +5 (Master 2 ou école d'ingénieur) spécialisée en big data et business analytics ou ingénierie et application masse des données ou Master Systèmes décisionnels (architecture, exploration de données et optimisation). Vous disposez d'une expérience significative dans le traitement des données et la modélisation quantitative d'une activité.
 Les compétences techniques (hard skills) et des aptitudes professionnelles (soft skills) requises par ce poste sont les suivantes :
 Compétences techniques : 
 · Connaissance des données en Assurance
 · Maîtriser les outils statistiques et les informations nécessaires à la mise en place d'une base de données pour les produits d'assurance
 · Gérer parfaitement les différentes technologies spécifiques au big data
 · Maitrise des outils ALTERYX, SPOTFIRE, POWERBI
 · Connaissance du langage PYTHON, R
 · Connaissance de la technologie HADOOP et GreenPlum
 · Bonne connaissance RGPD-Protection des données
 · Bonne connaissance de l'architecture et des fonctionnalités d'un SI d'entreprise
 · Intérêt pour les nouveaux langages et systèmes
 Aptitudes professionnelles : 
 · Capacité à contribuer à un collectif agile
 · Rigueur, organisation et méthode : afin de mettre en place les infrastructures en respectant des méthodes et des règles de qualité définies.
 · Capacité d'analyse pour trouver la solution la plus rapide et la plus adaptée.
 · Bonnes qualités relationnelles dans les rapports avec les clients internes et externes
 · Capacité à communiquer et à créer un climat de confiance envers les équipes et les utilisateurs
 · Capacité d'anticipation et de prises d'initiative pour assurer une veille technologique efficace.
 · Adaptabilité et curiosité technique car les évolutions technologiques sont rapides et doivent être assimilées afin de pouvoir optimiser l'existant.
 · Capacité à travailler de manière transversale avec notamment les métiers/les clients
 · Être force de propositions et d'initiatives sur les sujets
 Votre intégration ? Vous bénéficierez d'un accompagnement à nos process, nos méthodes ainsi qu'un parcours sur mesure
 Notre moteur ? Une équipe à taille humaine, menant des projets polyvalents et ayant une volonté collective de montée en compétences.
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Avantages :
 * Titre-restaurant
 Horaires :
 * Du Lundi au Vendredi
 * Travail en journée
 Rémunération supplémentaire :
 * 13ème Mois
 ",2022-03-02T05:03:37.000Z,2022-03-02T05:03:37.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,79 - MONTALEMBERT,46.106038,0.176742,79180, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0037924,"[{'nom': 'INDEED', 'url': 'https://www.indeed.fr/emploi/data-analyst-hf-00e67e07b3948d02?from=poleemploi', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/indeed80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,
2,9992518,Business developer data / digital H/F,"Rattaché au Manager du développement des ventes, votre objectif principal est de réaliser les objectifs de chiffre d'affaires relatifs à la commercialisation des nouvelles offres (principalement offres data et digitales) en développant de nouveaux comptes grâce à la prospection. Vous diversifiez le portefeuille d'offres souscrites par les clients existants des autres forces de vente de la société. Pour cela, vous définissez et mettez en place le plan de conquête commerciale sur votre périmètre et développez votre portefeuille clients tel un Business developer (vos clients sont multi-secteurs).
Expert sur les solutions data et digitales, vous co-construisez avec vos clients les solutions les plus adaptées et innovantes répondant à leurs enjeux métiers. Vous êtes garant de la faisabilité des solutions choisies et vous vous assurez de la bonne mise en œuvre de vos contrats par les différents services production. Vous pilotez votre activité selon les indicateurs définis et développez la satisfaction des clients de votre périmètre. Vous êtes en autonomie sur le poste et vous collaborez avec les Commerciaux sédentaires/terrain, ainsi que les Directeurs de clientèle grands comptes.
De formation commerciale, vous disposez idéalement d'une expérience terrain significative dans la vente de prestations de marketing direct, communication et en particulier sur des produits en lien avec le data et digital. Vous avez un vrai profil chasseur et êtes motivé par la prospection, ainsi que la négociation. Votre sens de la performance et votre capacité à valoriser les solutions vous permettront d'assurer une véritable démarche de conseil. Vous aimez le travail en équipe, êtes ouvert, dynamique et vous disposez de bonnes capacités rédactionnelles.

Rémunération : fixe à 35000-40000€/an + variable déplafonné + véhicule de fonction + participation/intéressement + avantages groupe + nombreuses perspectives d'évolution. ",2022-03-01T05:50:33.000Z,2022-03-01T05:50:33.000Z,D1402,Relation commerciale grands comptes et entreprises,Attaché(e) commercial(e) biens d'équipement professionnels,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 3 An(s),False,1,False,87 - LIMOGES,45.854256,1.248758,87085,"Notre client, acteur majeur de la communication de proximité, accompagne ses clients à chaque étape de leur démarche de communication. Dans le cadre de son développement dans la vente de solutions data et digitales, il recherche un Business developer pour le secteur 87/79/86/16/17. ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9992518,"[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=Z3VldmVsci41OTUyOC42NzA2QGhheXNmcmFuY2UuYXBsaXRyYWsuY29t', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",46,Autres intermédiaires du commerce en produits divers,Hays France,"Annuel de 35000,00 Euros ï¿½ 60000,00 Euros",,,,,,,,,,,,,,,,,,,,
3,0024579,STAGE - Data Scientist débutant(e) dans un DataLab (H/F),"Description du poste TotalEnergies est un acteur majeur de l\u0027énergie dans le monde. La branche Exploration \u0026amp; Production se concentre sur l\u0027exploration et la production de pétrole et de gaz naturel. La complexité technique de ce genre de travaux nécessite une rigueur importante dans la gestion du patrimoine informationnel (documents techniques et autres) du groupe.
La DataLab est un programme transverse dont le but est de faciliter la gestion documentaire en se basant sur les technologies pointues des data sciences et de l\u0027intelligence artificielle : classification, gestion des métadonnées, traitement naturel du langage etc.

Nous recherchons pour notre site du CSTJF basé à PAU (64) et pour une durée de 4 à 6 mois, un(e) stagiaire
Data Scientist débutant/e.


Le/La candidate aura pour objectif d\u0027accompagner les équipes du DataLab dans la réalisation de briques techniques afin de répondre aux besoins des data managers, dans les domaines de la géo information et des géosciences, ainsi que des nouvelles énergies.

Le/la stagiaire intégrera une équipe pluridisciplinaire (data managers, chef de projets systèmes d\u0027information, IT spécialistes, product owners, Data Scientists expérimentés). Selon les cas d\u0027utilisations, le/la candidate aura accès à des ressources puissantes et des briques techniques spécifiques pour lancer les calculs (Supercalculateur Pangea, Cloud...).

Il/Elle sera invité(e) aux différents points de rencontres des équipes : avancements, arbitrages, partenaires... D\u0027un point vue technique, le/la candidate devra évaluer la pertinence des technologies existantes (Machine Learning, NLP, Computer Vision etc.), si la faisabilité et la création de valeur se confirment, une proposition de solution sera alors attendue, allant de la stratégie de préparation de la donnée à l\u0027évaluation de la performance et la validation de la technologie.

En conséquence, le/la candidat(e) apportera une véritable valeur ajoutée par son analyse et ses réalisations. Il/Elle bénéficiera de toute l\u0027expérience et l\u0027accompagnement d\u0027une équipe dynamique en mode \'start-up\', AGILE et flexible dans sa méthodologie.
Titre de séjour et autorisation de travail valides pour la période couverte par cette offre
(la conclusion de ce contrat de professionnalisation ne permet pas la délivrance par l\u0027administration d\u0027une autorisation temporaire de travail).

TotalEnergies est une compagnie multi-énergies mondiale de production et de fourniture d'énergies : pétrole et biocarburants, gaz naturel et gaz verts, renouvelables et électricité. Ses 105 000 collaborateurs s\u0027engagent pour une énergie toujours plus abordable, propre, fiable et accessible au plus grand nombre. Présent dans plus de 130 pays, TotalEnergies inscrit le développement durable dans toutes ses dimensions au cœur de ses projets et opérations pour contribuer au bien-être des populations. ",2022-03-01T19:40:16.000Z,2022-03-01T19:40:16.000Z,M1403,Études et prospectives socio-économiques,Data scientist,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),False,1,False,64 - PAU,43.2951,-0.3708,64445,,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0024579,"[{'nom': 'CAREERBUILDER', 'url': 'https://www.careerbuilder.fr/jobs/J3W09864NRJB3TGLKHS?siteid=int_FRpoleemploi&utm_source=pole_emploi&utm_medium=aggregator&utm_campaign=organic', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/careerbuilder80.png'}]",,,Total Energies,De ,,,,,,,,,,,,,,,,,,,,
4,0019833,Data scientist H/F,"D'abord - on parle de vous !- Vous appliquez des techniques d'extraction et d'analyse d'informations, obtenues à partir de gisements de données (Big Data),- Vous obtenez des données adéquates, trouvez les sources de données pertinentes,- Vous faites des recommandations sur les bases de données à consolider, modifier, rapatrier, externaliser, internaliser,- Vous concevez des datamarts, voire des entrepôts de données (data warehouses),- Vous évaluez la qualité et la richesse des données, les analysez et en restituez les résultats pour ensuite les intégrer dans le système d'information cible du métier,- Vous analysez les données pour traduire une problématique métier en problème mathématiques/statistiques et réciproquement.Hard skills:Vous maitrisez les analyses statistiques et vous savez développer des algorithmes de Data science,Les dashboards et la documentation : c'est votre Dada !Vous avez de bonnes compétences techniques SQL mais aussi en GCP.Soft Skill :Vous êtes force de proposition afin de répondre aux problématiques métiers,Vous êtes pédagogue et autonome : communiquer, partager avec d'autres interlocuteurs ne vous font pas peur !Qui sommes-nous, et qu'est-ce qu'on vous propose ?Néo-Soft Lille c'est avant tout des consultants passionnés qui aiment partager leur expertise. Au sein de notre communauté Data, composé de Data-Scientist, Data-engineer et de consultants BI, vous évoluez dans un environnement à taille humaine où proximité, simplicité des échanges seront votre quotidien, votre parcours sera évolutif et vous aurez la possibilité d'enrichir vos compétences techniques.Notre état d'esprit:· Professionnel, sans se prendre trop au sérieux,· Events Technophiles: Déjeuners Techniques autour de technos récentes, participation au salon du BigData, animation de la communauté Data,· Valeurs éthiques: Engagements liés à l'environnement et au développement durable, sensibilisation autour des sujets comme le handicap, etc.Nos petits plus:· Missions de longue duré chez des acteurs majeurs (retail, finance et tertiaire) de la métropole Lilloise,· Entreprise reconnue Happy at Work.PROCESS - Suivez le guide !1 - Postulez ici !2 - Être contacté(e) par Marine, la baroudeuse  ,3 - Entretien RH toujours avec Marine,4 - Echanges Techniques avec Alaeddine, notre expert technique  ,5 - Entretien Managérial avec Philippe, notre Business Manager barbu qui a beaucoup d'humour. ",2022-03-01T17:53:22.000Z,2022-03-01T17:53:22.000Z,M1403,Études et prospectives socio-économiques,Data scientist,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 12 Mois,False,1,False,33 - Gironde,,,, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0019833,"[{'nom': 'INZEJOB', 'url': 'https://emploi.inzejob.com/offre-emploi?j=8281829', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/inzejob80.png'}]",,,Néo-Soft Groupe,,"[{'libelle': 'Aucun permis', 'exigence': 'S'}]",,,,,,,,,,,,,,,,,,,
5,0018258,Chef de projet Data (H/F),"Synchrone enrichit son offre avec la création d'un Centre de solutions s'articulant autour de deux axes stratégiques : la Data et la Cybersécurité.Pour l'un de nos clients du retail, nous recherchons un Chef de projet Data (H/F). En tant que leader, vous piloterez les développements et la maintenance des solutions Data. Vos missions- Véritable chef de projet, vous êtes le facilitateur de l'orchestration des sujets Data dans votre domaine métier.- Vous proposez des solutions data adaptées et alignées avec la stratégie Data en collaboration avec un Product Owner.- Vous êtes en contact avec les utilisateurs pour comprendre, challenger et cadrer les besoins métier.- Vous avez la responsabilité du portefeuille projets : écriture, planification, pilotage et delivery.- Vous pilotez une équipe data pluridisciplinaire : Data Analytics, Data Science, Data Engineering.- Vous êtes le garant de la cohérence technique et fonctionnelle de votre domaine en collaboration avec l'ensemble de l'écosystème.- Vous êtes proche de l'écosystème (IT, métiers, data) dans lequel vous travaillez. Votre profil Compétences techniques :Gestion de projets Expertise SQL, ETLBusiness Objects, Qlikview, Power BI, Data Studio Google Cloud Platform (GCS, BigQuery), TeradataConnaissances linguistiques : Anglais Lu, écrit (Impératif)Profil recherché :- Vous possédez une expérience professionnelle d'au moins 5 ans dans la Data- Vous avez piloté des projets pendant au moins 3 ans- Vous justifiez d'une expérience dans le suivi et l'accompagnement d'une équipe- La connaissance du monde de la grande distribution serait un plus.Qui sommes-nous ? Présente sur toute la France, Synchrone (1400 collaborateurs) accompagne la transformation digitale des grandes organisations.Nous intervenons auprès des leaders de la Banque/Finance, des Services, Transports, Télécoms (.) sur des missions à forte valeur ajouté dans cinq domaines phares : Cloud & Infrastructure, Finance Consulting, Digital Expérience, Data et Cybersécurité.Dans le cadre de notre développement, nous recrutons 450 talents sur toute la France en 2022.  Pourquoi nous rejoindre ?  Accompagnement RH & CarrièreDéveloppez vos compétences grâce à la Talent School Synchrone : e-learning, organismes partenaires de renom, MOOCs et workshops. Enrichissez votre expérience grâce à un suivi optimal : on-boarding, vie sur site client, moments de convivialité, suivi RH et mission, etc.  Programme INPULSE 2Prenez part au développement de Synchrone au cœur de projets collaboratifs et rémunérés. Cooptation, apport d'affaires, ambassadeur sur site, avant-vente & opérations, recrutement & formation, communication & marketing : devenez acteur de votre société !UNITEDHEROES X SYNCHRONEIntégrez notre programme Sport & Bien-être ! Bénéficiez des fonctionnalités de l'application United Heroes (cours de sport live & replay, conseils bien-être et training, etc.) et relevez toute l'anné des défis sportifs et engagés au sein de votre équipe. ",2022-03-01T17:49:02.000Z,2022-03-01T17:49:02.000Z,M1802,Expertise et support en systèmes d'information,Data manager,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 12 Mois,False,1,False,33 - Gironde,,,, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0018258,"[{'nom': 'INZEJOB', 'url': 'https://emploi.inzejob.com/offre-emploi?j=8282056', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/inzejob80.png'}]",,,Synchrone Fr,,"[{'libelle': 'Aucun permis', 'exigence': 'S'}]",,,,,,,,,,,,,,,,,,,
6,9969923,DIRECTEUR DE PROJET IT DATA MIGRATION (H/F),"Recherche: DIRECTEUR DE PROJET IT DATA MIGRATION (H/F)
Capgemini est un leader mondial du conseil, de la transformation numérique, des services technologiques et d'ingénierie. Nous comptons aujourd'hui plus de 300 000 collaborateurs présents dans près de 50 pays et avons réalisé un chiffre d'affaires, en 2019, de 17 milliards d'euros. Sa présence internationale, la dimension de son groupe ainsi que sa stratégie de développement font de Capgemini une société où l'on y trouve les projets les plus innovants du marché. Votre mission En tant qu'Engagement Manager, vous avez un rôle clé dans notre structure Vous êtes amené à piloter nos engagements afin d'obtenir la satisfaction du client tout en respectant le cadre contractuel défini en avant-vente. En lien avec notre Direction Data Migration France, vous intervenez : En front avec les clients du groupe pour garantir le pilotage des projets de Data Migration En back avec les différentes équipes (Montpellier, Nantes, Paris) pour suivre ... ",2022-02-28T20:20:32.000Z,2022-02-28T20:20:32.000Z,M1803,Direction des systèmes d'information,Directeur / Directrice de projet en informatique,LIB,Profession libérale,Emploi non salarié,D,Débutant accepté,False,1,False,33 - FRANCS,44.938298,-0.003612,33173, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9969923,"[{'nom': 'JOBINTREE', 'url': 'https://www.jobintree.com/offre-emploi/capgemini-7952/directeur-projet-it-data-migration-43271109?utm_source=pole-emploi&utm_medium=flux-offres&utm_campaign=partenaire', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobintree80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,
7,9956700,Expert Conception et architecture de données d'entreprise (Data Designer) H/F - 1-0003311,"Mission :
Au sein du service Architecture de la DSI de la banque des territoires et dans l'équipe « modélisation des données et des échanges », vous êtes responsable de construire et maintenir un modèle de données d'entreprise performante et commune à l'ensemble du SI de la Banque des Territoires, de diffuser les règles et les bonnes pratiques qui les régissent ainsi que de les faire évoluer.
Vous êtes le référent du domaine SI Banque des Territoires et Moyens de Paiement sur les sujets d'expertise de la donnée vis-à-vis des métiers mais également l'ensemble des parties prenantes de la DSI.
Vous prenez en charge les évolutions des modèles de données d'entreprise en lien avec les équipes projets et les architectes du domaine.
Vous assurez l'expertise et la supervision des méthodes et des standards de modélisation de données au sein des produits SI en lien avec le Data Office de la Banque des Territoires.
Activités :
Participer à la mise en place de la gouvernance et la classification des données d'entreprise avec toutes les parties prenantes (équipes SI métiers, SI data, Architectes, Data Office, .)
Construire, enrichir et maintenir le dictionnaire et les modèles de données de référence pour l'ensemble de la Banque des Territoires
Contribuer aux études d'architecture dans la description, l'usage et les impacts des données
Être garant des normes et des standards de modélisation définis par le domaine BDT
Mettre en place et faire évoluer les modèles de données des systèmes d'échange inter et intra produits de type API Gateway ou Bus de données
Donner de la visibilité à toutes nos parties prenantes sur les évolutions des données et modèles de données ainsi que les socles technologiques mis en place au sein de l'établissement public
Être le point d'appui de l'ensemble des parties prenantes de l'écosystème Data (Data Office, Équipe Data, Socle Technologique, .) sur les volets modélisation et méthode
Participer aux analyses d'impacts des modèles de données du SI en lien avec les Architectes de l'équipe : processus métier et SI, urbanisation et rationalisation du SI, cohérence fonctionnelle, impacts applicatifs, .
Planifier, organiser, établir et suivre les plans de conception et de livraison de modèles de données en lien avec les équipes projets
Mettre à jour les modèles et leurs documentations dans les outils référentiels (Sparx EA)
Assurer le suivi des implémentations techniques des modèles mis en œuvre avec les équipes applicatives et techniques de la Caisse des Dépôts
Poste Expert ",2022-02-28T12:30:43.000Z,2022-02-28T12:30:43.000Z,M1802,Expertise et support en systèmes d'information,Architecte technique informatique,CDD,Contrat à durée déterminée - 36 Mois,Contrat travail,E,Expérience exigée de 2 An(s),False,1,False,33 - Gironde,,,,Caisse des Dépôts et Consignations ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9956700,"[{'nom': 'PEP', 'url': 'https://place-emploi-public.gouv.fr/offre-emploi/2022-826684', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/pep80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,
8,9907584,Architecte Big Data H/F,"Vous aimez construire des architectures orientées données capables de stocker et de traiter de fortes volumétries tout en bénéficiant de la puissance des dernières technologies du marché ?
Vous êtes certifié(e) MS Azure, AWS ou GCP ou vous souhaitez le devenir ?
Vous aimez travailler sur des activités variées de réalisation de projets, de développement de comptes ou d'accompagnement des collaborateurs ?
Rejoignez-nous !
Nous travaillons sur des solutions personnalisées par rapport aux besoins de chacun de nos clients et sur des projets délivrés en agile.
Vous pourrez évoluer au sein d'Inetum et continuer à apprendre grâce à nos plans de formation dédiés et nos communautés actives.
Et aussi,
Supporter les équipes techniques, les faire grandir pour réussir collectivement les projets
Animer des ateliers, des formations pour promouvoir les bonnes pratiques, partager vos savoir-faire
Et bien sûr, apprendre en vous formant et en échangeant avec nos communautés !
 Alors, prêt pour un nouveau challenge ? Rejoignez-nous !
Intégrer Inetum c'est rejoindre une communauté d'experts où partage et entraide sont les maîtres mots, la possibilité d'évoluer sur des missions variées, un accompagnement personnalisé tout en vous laissant acteur de votre carrière !
#PositiveDigitalFlow
Vos compétences techniques :
Cloud : GCP, AWS, AZURE
Plateforme Hadoop : Hortonworks,Cloudera
Base de données NoSQL: HDFS,, HBase, MongoDB, Cassandra...
Framework (bigdata): Spark, Hive, Kafka, Flume, Oozie,...
Langage : Java, Scala, R, Python...
BI : PowerBI, Tableau, QLick
ETL : Talend, Dataflow
Container : Docker, Kubernetes, Devops : Jenkins,Ansible ",2022-02-26T13:02:07.000Z,2022-02-26T13:02:07.000Z,M1803,Direction des systèmes d'information,Responsable de projet architecture informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 5 An(s),False,1,False,79 - NIORT,46.328259,-0.465353,79191,"Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en oeuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital.
Tous nos postes sont ouverts aux personnes en situation de handicap. ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9907584,"[{'nom': 'BROADBEAN', 'url': 'https://www.aplitrak.com/?adid=YXNjZW50cmVvdWVzdC40ODMxOS42NzA2QGdmaS5hcGxpdHJhay5jb20', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/broadbean80.png'}]",62,Programmation informatique,Inetum,"Annuel de 40000,00 Euros ï¿½ 80000,00 Euros",,,,,,,,,,,,,,,,,,,,
9,9856500,Chef de projet Data / Niort (IT) (H/F),"-Conduire le projet de bout en bout en garantissant le résultat optimal du point de vue qualité, performances, coût et délai et sécurité des projets 
-Assurer la conduite des projets et le suivi opérationnel. 
-Animer le suivi des planifications des projets et leurs différentes adhérences. 
-Participer à l'organisation (plan de ressources) du projet. 
-Préparation et animation des instances de pilotage projet. 
-Coordination et synthèse des validations des livrables du projet. 
-La communication/accompagnement au changement. 
-Mobiliser l'ensemble des acteurs : Business, Data scientists, Data engineer, sources de données 
-Accompagner les équipes métiers sur les nouveaux usages de la data (utilisation du big data et des technologies associées). ",2022-02-25T22:00:30.000Z,2022-02-25T22:00:30.000Z,M1805,Études et développement informatique,Ingénieur / Ingénieure de développement informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,False,1,False,79 - NIORT,46.327052,-0.466493,79191, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9856500,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/80e44feaf67c70a557c0e591149fbbaf', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,9,Cadre,,,,,,,,,,,,,,,,,
