,id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,alternance,nombrePostes,accessibleTH,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.commune,entreprise.nom,entreprise.description,entreprise.entrepriseAdaptee,origineOffre.origine,origineOffre.urlOrigine,origineOffre.partenaires,qualificationCode,qualificationLibelle,secteurActivite,secteurActiviteLibelle,salaire.commentaire,competences,dureeTravailLibelle,dureeTravailLibelleConverti,offresManqueCandidats,lieuTravail.codePostal,entreprise.url,salaire.libelle,contact.nom,contact.coordonnees1,contact.courriel,permis,salaire.complement1,contact.urlPostulation,entreprise.logo,complementExercice,deplacementCode,deplacementLibelle,qualitesProfessionnelles,salaire.complement2,formations,langues,experienceCommentaire,contact.coordonnees2,contact.coordonnees3,agence.courriel,contact.commentaire
0,9995402,Ingénieur Big Data (H/F),"Acteur mondial du conseil en ingénierie et services numériques dans les smart industries, MODIS inscrit son projet d'entreprise dans une perspective de croissance durable et rentable.
L'ADN de MODIS est à la fois technologique et RH
Fort de son expertise dans cinq domaines technologiques, MODIS déploie cette année en France et dans le monde, deux nouvelles lignes de service qui viennent s'ajouter à MODIS Tech Consulting:
-  MODIS Tech Academy, incubateur de compétences
-  Modis Tech Talent Services, offre d'intérim et de recrutement dans les domaines de l'IT et de l'ingénierie
MODIS propose désormais une offre unique à 360° reposant sur le consulting, la formation, le recrutement et le travail temporaire.
Intrinsèquement passionnés par le talent, nous sommes fiers de promouvoir notre culture managériale auprès de nos 30000 collaborateurs dans le monde ainsi que nos engagements RSE.
Notre volonté est de créer une relation managériale novatrice en intégrant notamment les nouvelles façons de vivre le travail.
Chez Modis, nous sommes également convaincus de la richesse qu'apportent l'inclusion et la diversité dans nos équipes. C'est pourquoi nous prenons des engagements forts sur les thématiques liées à l'égalité de genre, au handicap, aux personnes LGBT+ et à la mixité sociale.
Il est indispensable de permettre au quotidien à chaque collaboratrice et à chaque collaborateur d'être soi-même au travail et acteur de sa vie.
C'est pourquoi, dans le cadre du développement de nos activités et la mise en place de projets à fortes valeurs ajoutés, nous recrutons un Ingénieur Big Data H/F à  Lyon. Dans ce cadre-là, vous serez amené(e) à mettre à profit vos compétences en analyse, traitement de données sur un projet évoluant dans un contexte international.
 
Vos principales tâches seront :
 
Participer aux ateliers technico-fonctionnels de conception 
Prendre en charge des activités de développement et d'écriture du code
Remonter les informations aux équipes de pilotage des projets
Réestimer le reste à faire au fil des développements
Développer les fonctionnalités en respectant les bonnes pratiques définies
Corriger les anomalies fonctionnelles et/ou techniques
Participer aux différentes communautés techniques ",2022-03-01T06:45:37.000Z,2022-03-01T06:45:37.000Z,M1805,Études et développement informatique,Ingénieur / Ingénieure de développement informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),False,1,False,69,45.758,4.835,69123,MODIS France, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9995402,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/4708066/ingenieur-big-data-hf.html', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/handicap_job80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9993415,"Ingénieur Data / Big Data F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Pour renforcer nos équipes, nous recherchons un Consultant orienté Développement Data
Au sein d'une équipe spécialisée autour de la Big Data, vos missions seront:
· Participation à l'élaboration des spécifications fonctionnelles,
· Rédaction des spécifications techniques,
· Participation au développement,
· Développement des tests unitaires,
· Participation aux processus de déploiement opérationnel.

Profil recherché:

De formation supérieure, vous avez au minimum une première expérience autour de la Big Data;
Vous êtes fan de Data ;
Vous connaissez cet écosystème : Spark, Python, Scala, Java, Hadoop, Hive, Presto/Athena;
Vous maîtrisez le stockage de données et les outils ETL;
Vous aimez le développement de qualité, et le respect des bonnes pratiques;
Les problématiques de performance, et de sécurité ne vous font pas peurs.... !!!
En plus de ça, vous recherchez une équipe dynamique pour participer à la réalisation de projets ambitieux dans un cadre où l'esprit d'équipe et la bonne humeur rythment notre quotidien?
Alors, il est temps de postuler !!
Nous recherchons avant tout un collaborateur motivé et passionné. ",2022-03-01T05:54:46.000Z,2022-03-01T05:54:46.000Z,M1802,Expertise et support en systèmes d'information,Ingénieur / Ingénieure système réseau informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),False,1,False,69 - LYON 03,45.758,4.835,69383,IKIGAÏ,"\nIKIGAÏ, jeune entreprise en forte croissance, est un acteur spécialisé dans les métiers de l'Ingénierie Informatique.\nIKIGAÏ souhaite apporter un nouveau souffle, une nouvelle vision, en accordant une importance majeure au développement des carrières de ses collaborateurs. Pour atteindre cet objectif, IKIGAÏ s'appuie sur des valeurs fortes : Innovation, Expertise, Bienveillance, Equipe;\n \nAujourd'hui IKIGAÏ accompagne des clients de la région Rhône Alpes autour de 4 pôles ... ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9993415,"[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167544637W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",9,Cadre,62,Programmation informatique,30 - 40 k€ brut annuel,,,,,,,,,,,,,,,,,,,,,,,,,,
2,128WMLM,Chef de projet Bases de données / Data Manager   (H/F),"Sous la responsabilité du Directeur des Systèmes d'Information (DSI), vos principales missions sont :
-	Prendre en charge la gestion et l'administration de l'ensemble des bases de données de l'entreprise (essentiellement SQL) ;
-	Maitriser techniquement et fonctionnellement les interactions entre les différents systèmes composant le SI, que ce soit des systèmes de gestion ou des systèmes industriels ;
-	Développer, améliorer ou optimiser les interfaces entre les solutions du SI ;
-	Réaliser et mettre à disposition des extractions des données pour les utilisateurs ;
-	Formaliser et mettre à jour des documentations techniques.
De formation Bac+2 à BAC+5, vous justifiez d'une expérience significative dans les Bases de données, une parfaite maitrise de l'environnement SQL, d'un ETL (DataExchanger); une culture ERP serait appréciée ainsi qu'une expérience en gestion de projet serait un plus (Planning, Budget, Suivi ).

Doté(e) d'un esprit d'analyse et de synthèse, vous êtes apprécié(e) pour votre disponibilité et excellent relationnel.
Rigoureux (se) et organisé(e), vous savez faire preuve d'une très grande réactivité.
Vous avez une pratique professionnelle de l'anglais.
Poste basé à Thonon les Bains.",2022-02-28T15:40:25.000Z,2022-02-28T15:40:26.000Z,M1801,Administration de systèmes d'information,Administrateur / Administratrice de bases de données,CDI,Contrat à durée indéterminée,Contrat travail,E,2 ans,False,1,False,74 - THONON LES BAINS,46.375802,6.478447,74281,TIME RECRUTEMENT,"Notre client, Groupe industriel connu et reconnu pour la qualité de ses produits exporte plus de 70% de sa production dans plus de 50 pays et sur chaque continent. Dans le cadre de l'évolution de son Système d'Information, il recrute son Chef de projets Bases de données, BDA confirmé.",False,1,https://candidat.pole-emploi.fr/offres/recherche/detail/128WMLM,,9,Cadre,70,Conseil pour les affaires et autres conseils de gestion,,"[{'code': '109971', 'libelle': ""Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives"", 'exigence': 'S'}, {'code': '115801', 'libelle': ""Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques"", 'exigence': 'S'}, {'code': '117024', 'libelle': ""Améliorer un système d'information"", 'exigence': 'S'}, {'code': '121044', 'libelle': ""Actualiser les systèmes d'information en fonction des évolutions"", 'exigence': 'S'}, {'code': '125902', 'libelle': ""Analyser les performances d'un système d'information"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,74200,https://apply.humansourcing.com/f/g/n/fr/MW5/15321/PE,"Annuel de 40000,00 Euros à 60000,00 Euros sur 12 mois",TIME RECRUTEMENT - M. Milan Mokhtari,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128WMLM","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128WMLM",,,,,,,,,,,,,,,,
3,128WMJM,Chef de projet Bases de données / Data Manager  (H/F),"Sous la responsabilité du Directeur des Systèmes d'Information (DSI), vos principales missions sont :
-	Prendre en charge la gestion et l'administration de l'ensemble des bases de données de l'entreprise (essentiellement SQL) ;
-	Maitriser techniquement et fonctionnellement les interactions entre les différents systèmes composant le SI, que ce soit des systèmes de gestion ou des systèmes industriels ;
-	Développer, améliorer ou optimiser les interfaces entre les solutions du SI ;
-	Réaliser et mettre à disposition des extractions des données pour les utilisateurs ;
-	Formaliser et mettre à jour des documentations techniques.
De formation Bac+2 à BAC+5, vous justifiez d'une expérience significative dans les Bases de données, une parfaite maitrise de l'environnement SQL, d'un ETL (DataExchanger); une culture ERP serait appréciée ainsi qu'une expérience en gestion de projet serait un plus (Planning, Budget, Suivi ).

Doté(e) d'un esprit d'analyse et de synthèse, vous êtes apprécié(e) pour votre disponibilité et excellent relationnel.
Rigoureux (se) et organisé(e), vous savez faire preuve d'une très grande réactivité.
Vous avez une pratique professionnelle de l'anglais.
Poste basé à Thonon les Bains.
",2022-02-28T15:39:19.000Z,2022-03-01T07:39:08.000Z,M1801,Administration de systèmes d'information,Administrateur / Administratrice de bases de données,CDI,Contrat à durée indéterminée,Contrat travail,E,2 ans,False,1,False,74 - EVIAN LES BAINS,46.391633,6.591223,74119,Milan Mokhtari,"Notre client, Groupe industriel connu et reconnu pour la qualité de ses produits exporte plus de 70% de sa production dans plus de 50 pays et sur chaque continent. Dans le cadre de l'évolution de son Système d'Information, il recrute son Chef de projets Bases de données, BDA confirmé.",False,1,https://candidat.pole-emploi.fr/offres/recherche/detail/128WMJM,,9,Cadre,70,Conseil pour les affaires et autres conseils de gestion,,"[{'code': '109971', 'libelle': ""Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives"", 'exigence': 'S'}, {'code': '115801', 'libelle': ""Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques"", 'exigence': 'S'}, {'code': '117024', 'libelle': ""Améliorer un système d'information"", 'exigence': 'S'}, {'code': '121044', 'libelle': ""Actualiser les systèmes d'information en fonction des évolutions"", 'exigence': 'S'}, {'code': '125902', 'libelle': ""Analyser les performances d'un système d'information"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,74500,https://apply.humansourcing.com/f/g/n/fr/MW5/15321/PE,"Annuel de 40000,00 Euros à 60000,00 Euros sur 12 mois",Milan Mokhtari - M. Milan Mokhtari,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128WMJM","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/128WMJM",,,,,,,,,,,,,,,,
4,9966271,DATA SCIENTIST (H/F),"Recherche: DATA SCIENTIST (H/F)
Vous savez prendre de la hauteur ? Vous considérez que les SI sont des outils de développement et de stratégie ? Rejoignez une entreprise innovante en pleine mutation technologique !
Enedis, entreprise de service public nouvelle génération, vous invite à devenir acteur de la transition écologique au coeur des territoires et de relever les défis du numérique.
Avec ses 750 collaborateurs et une croissance d'effectifs prévue de 12% par an, la DSI d'Enedis est pleinement engagée dans la transformation et la digitalisation du réseau électrique.
Au sein du département "" Conduite Exploitation du Système Electrique "" du Pôle Nex'us Human Dév le domaine Conduite-Exploitation est en charge notamment des outils d'aide à la supervision et l'exploitation des réseaux.
En tant que Data Scientist, votre rôle est d'analyser, exploiter et valoriser les données du réseau.
Vos activités principales sont de:
 - Produire des indicateurs et système d'aide à la décision ... ",2022-02-28T17:48:13.000Z,2022-02-28T17:48:13.000Z,M1403,Études et prospectives socio-économiques,Data scientist,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,False,1,False,69 - LYON 01,45.758,4.835,69381,, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9966271,"[{'nom': 'JOBINTREE', 'url': 'https://www.jobintree.com/offre-emploi/enedis-7896/data-scientist-43309009?utm_source=pole-emploi&utm_medium=flux-offres&utm_campaign=partenaire', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobintree80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9955979,"Ingénieur Data Scientist/Data analyst F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Tu travailleras pour l'un de nos clients spécialisé dans le contrôle qualité dédiée à l'industrie des verres creux. Avec ses 50 années  d'experience et un solide savoir-faire, l'entreprise est leader mondial sur le marché.
L'innovation, la commercialisation de nouveaux produits et les avancées technologiques font entièrement partie du business model de l'entreprise avec :
- Une équipe de 100 ingénieurs R&D et industrialisation
- Un portefeuille de 50 brevets
- Plus de 10% d'investissments R&D par an
Notre client et ses 330 collaborateurs sur les 5 continents travaillent en continue pour offrir des outils :
D'amélioration de l'efficacité du processus de fabrication du verre,
de contrôle de l'intégrité du contenant en verre par la détection des différents défauts ( défauts d'aspect, défauts non-visibles à l'oeil nu, défauts dimensionnels, défauts critiques...)
Tes missions :
- la création de graphiques visant à extraire les informations recherchées par leur clients
- L'analyse des relations les données grâce au moteur fournit par l'outil
- La création de tables de données transformées
- La rédaction de rapports réguliers
- L'amélioration de l'outil et des bases sous-jacentes
Tu participeras également à la veille technologique et la réalisation de projets de faisabilité sur de futurs produits "" DATA"" par l'utilisation d'outils Open-source ou Cloud.
Le poste est à pourvoir rapidement !

Profil recherché:

Compétences techniques et linguistiques:
- Analyse de données
- Langages: Javascript Python, C#
Technologies; Node.js, RabbitMq, HTTP ( SOAP,REST),InfluxDB, Grafana, suite Elastic
- Notions sur Cloud Azure appréciées
- Rigoureux(se), curieux(se), autonome et bon(ne) communiquant(e)
- Anglais écrit/parlé ",2022-02-28T05:40:27.000Z,2022-02-28T05:40:27.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),False,1,False,69 - VOURLES,45.662395,4.770695,69268,D.R.A. TECHNOLOGIES,"\nDepuis 2001, DRA Technologies est une société de service et d'ingénierie qui est spécialisée dans les domaines de l'automatisme et de l'informatique technique, embarquée et industrielle. Nous répondons aux besoins de nos clients par le biais d'assistance technique ou de projets au forfait. Les missions que nous proposons sont aussi bien en France qu'à l'international.\nNous avons pour ambition de conserver nos valeurs de proximité dans une PME dynamique et grandissante.\nPour... ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9955979,"[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167535630W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",9,Cadre,62,Conseil en systèmes et logiciels informatiques,A partir de 34 k€ brut annuel,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9954959,"Ingénieur Data scientist - Python - Lyon, France F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Ce que nous allons accomplir ensemble :
Améliorer des procédés de fabrication des clients grâce aux données récupérées tout le long de la chaine de prod. Les données sont ingérées, transformées et contextualisées pour les rendre exploitables par un outil big data.
Votre mission (...si vous l'acceptez !) :
* Création de graphique
* Analyse des relations entre les données
Votre stack de jeu : Javascript, Pyhton, C#, Node JS, Rabbit MQ, Cloud Azur

Profil recherché:

Vous ?
De formation Ingénieur, vous justifiez d'une expérience d'un minimum de 2 ans data science. Vous maîtrisez Python, R et possédez de bonnes connaissances dans la gestion de base de données (SQL) ? Vous êtes heureux lorsque vous travaillez en équipe ?Alors ce poste est fait pour vous ",2022-02-28T05:35:37.000Z,2022-02-28T05:35:37.000Z,M1802,Expertise et support en systèmes d'information,Ingénieur / Ingénieure système réseau informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),False,1,False,69 - LYON 01,45.758,4.835,69381,ASTEK,"\nNous ?\nCréé en France en 1988, Astek est un acteur mondial de l'ingénierie et du conseil en technologies, présent sur les 5 continents. Fort de son expertise dans de nombreux secteurs industriels et tertiaires, Astek accompagne ses clients internationaux dans le déploiement intelligent de leurs produits et de leurs services, et dans la mise en œuvre de leur transformation digitale.\nDepuis sa création, le Groupe a fondé son développement sur une forte culture d'entrepreneuriat et... ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9954959,"[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167740481W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",9,Cadre,62,Conseil en systèmes et logiciels informatiques,A négocier,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9954347,Chef de projet DATA/Product owner F/H - Informatique de gestion (H/F),"Descriptif du poste:

Dans le cadre d'un remplacement, nous recherchons un  Chef(fe) de Projet Data / API : 

Vos missions :

- Vous contrôlez la qualité des livrables intermédiaires (Cahier des charges, diagramme d'architecture, plan de test, .)

- Vous identifiez les risques projets, alertez quand nécessaire et trouvez les solutions adéquates

- Vous Pilotez et animez des comités de projets avec les différentes parties prenantes à l'international : Sponsor, Architecture, Utilisateurs, Développeurs.

- Vous portez la vision du sponsor et animez l'équipe dédiée

- Vous connaissez les contraintes liées aux données (RGPD, Cycle de vie de la donnée.etc.)

- Lors d'avant-vente technique vous validez les besoins client et apportez des solutions

Profil recherché:

Diplômé.e de l'enseignement supérieur (ingénieur ou universitaire), vous possédez plus de 3 années d'expérience en conduite de projets autour des méthodologies AGILE, au sein d'une ESN ou d'un client final.

Votre niveau d'anglais est courant.

Doté.e d'un excellent relationnel, vous connaissez parfaitement les problématiques liées au SGBD (Oracle) et l'eco-système BigData (NoSql, Python, Hadoop, Redshift).

Vous maîtrisez aussi un EL-T majeur du marché tel Talend ou Stambia ainsi que les nouvelles technologies liées aux API full REST

En outre, vous êtes à l'aise en phase avant-vente chez nos clients grands comptes lors d'accompagnement et de suivi technique. Vous avez évolué idéalement dans le monde de la finance.

Enfin, votre souhait de travailler dans un environnement international dynamique et décontracté finira de vous convaincre à postuler parmi nous !

Vous vous reconnaissez ? Alors postulez !

Rémunération :

Salaire fixe selon profil et expérience
Prime de participation (équivalente à 1 mois de salaire) et prime de fin d'année
Tickets Restaurants (valeur : 9 euros)
Une prise en charge à 100% de la mutuelle ",2022-02-28T05:10:46.000Z,2022-02-28T05:10:46.000Z,M1703,Management et gestion de produit,Chef de produit web,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),False,1,False,69 - LYON 03,45.758,4.835,69383,AYA CONSEIL ET STRATEGIE,"\nNotre client est un groupe privé et indépendant qui propose un ensemble de solutions pour les entreprises, de la gestion du risque, à la procédure de conformité et aux données marketing.\n\nAujourd'hui, c'est le fournisseur d'informations d'entreprise le plus utilisé au monde ! ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9954347,"[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167524969W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",9,Cadre,78,Activités des agences de placement de main-d'œuvre,40 - 50 k€ brut annuel,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9952560,"Data Analyst F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Sous la responsabilité du Head of Product, le/la Product Analyst utilise ses compétences en analyse de données pour mesurer les performances du produit, aider à la prise de décisions stratégiques et à l'amélioration constante de l'expérience utilisateur.
Les missions du Product Analyst :
Performances Produit
-    Définir les métriques clés des performances du produit et développer les dashboards mesurant ces indicateurs
-    Cartographier les usages de nos clients et intérimaires sur la plateforme QAPA à partir de la data d'utilisation
-    Développer des modèles d'acquisition, d'activation et de rétention de nos utilisateurs
Stratégie Produit
-    Préparer les roadmaps Produit par des analyses ad-hoc des comportements utilisateurs afin de prendre des décisions validées par la data
-    Identifier des opportunités d'amélioration visant à accélérer l'adoption et l'engagement utilisateur, en particulier sur les performances de nos algorithmes de sourcing et de matching
Développement Produit
-    Travailler en étroite collaboration avec le product management et la R&D lors des phases de spécifications, implémentation et déploiement des fonctionnalités pour garan-tir une approche centrée sur la data utilisateur lors de chaque étape
-    Définir les indicateurs de succès des nouvelles fonctionnalités et mesurer ces indicateurs suite à la mise sur le marché pour valider l'impact
-    Réaliser des A/B tests pour améliorer l'expérience utilisateur 
Le/la Product Analyst est intégré(e) à une équipe de 20 personnes avec une organisation en squad (1 dev lead, 3-4 Software Engineers, 1 Product Manager) et une équipe UX/UI.

Profil recherché:

·    Vous êtes issu(e) d'une formation de niveau bac+5 en informatique, en ingénierie, en mathématique ou dans une discipline connexe ou expérience équivalente
·    Vous avez une forte compétence analytique & modélisation : base de données / SQL (jointures multiples, connaissance de l'optimisation des requêtes, création de tables) et un ou plusieurs langages de programmation, par ex. Python   
·    Vous avez un esprit analytique et orienté business
·    Vous avez une capacité à résoudre des problèmes complexes
·    Vous avez une capacité à afficher des données quantitatives complexes dans un for-mat simple et intuitif et de présenter les résultats de manière claire et concise
Poste basé sur Grenoble ",2022-02-28T05:03:31.000Z,2022-02-28T05:03:31.000Z,M1805,Études et développement informatique,Analyste réseau informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),False,1,False,38 - GRENOBLE,45.182081,5.7243,38185,Qapa,"\nQui sommes - nous ? \nQAPA est la solution digitale Adecco \nLa mission de QAPA est de libérer le marché de l'emploi en répondant aux aspirations des candidats et aux besoins des entreprises. \nGrâce à l'intelligence artificielle, QAPA offre gain de temps, souplesse et flexibilité aux candidats comme aux recruteurs. \nQAPA est le seul acteur à avoir digitalisé les trois métiers du recrutement : \n·        Sourcing dynamique des candidats, \n·        Mat... ",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9952560,"[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167742151W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",8,Agent de maîtrise,70,Conseil pour les affaires et autres conseils de gestion,35 - 40 k€ brut annuel,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9935544,Data Analyst en Alternance H/F,"La formationVous suivez un cursus en alternance avec OpenClassrooms en parall&egrave;le de vos missions chez l'employeur dans le cadre d'un contrat d'apprentissage ou d'un contrat de professionnalisation. Nous vous invitons &agrave; v&eacute;rifier votre &eacute;ligibilit&eacute; au contrat vis&eacute; en suivant le lien pr&eacute;c&eacute;dent. Vous b&eacute;n&eacute;ficiez d&rsquo;une r&eacute;mun&eacute;ration correspondant &agrave; un pourcentage du SMIC (ou, dans certains cas, du salaire minimum conventionnel) d&egrave;s le 1er jour, variant en fonction de votre &acirc;ge et de votre progression dans le cycle de formation. Le rythme pr&eacute;conis&eacute; : 2j en formation et 3j en entreprises par semaine. La dur&eacute;e de formation : voir selon le parcours pr&eacute;par&eacute;.Les avantages des parcours en alternance chez OpenClassrooms Cours en vid&eacute;o et projets professionnalisants accessibles 24h/24, 7j/7100% en ligne : pas de date de rentr&eacute;e impos&eacute;e (d&eacute;marrage toutes les semaines) et aucun d&eacute;placement n&eacute;cessaireAccompagnement personnalis&eacute; par un mentor expert chaque semaineUn dipl&ocirc;me de niveau Bac+2 &agrave; Bac+5 de niveau reconnu par l'&Eacute;tat fran&ccedil;aisAucun frais &agrave; engager si vous avez jusqu'&agrave; 29 ans inclus ou si vous &ecirc;tes demandeur d'emploiD&eacute;ploiement du tableau de bord indicateurs national (Power BI)- Identifier les indicateurs &agrave; mettre en place,- Comprendre le fonctionnement de la remont&eacute;e des indicateurs,- Identifier le besoin client sur les ateliers de production,- Identifier les outils et sources pouvant r&eacute;pondre au besoin client,- Structurer les tableaux de bord sur 3 niveaux (national, AP et &eacute;quipes) en respectant les connexions entre eux,- Former les diff&eacute;rents niveaux &agrave; son utilisation (support, animation et SAV),- P&eacute;renniser et fiabiliser les sources d&rsquo;entr&eacute;e du tableau de bord,- Cr&eacute;er un support permettant d&rsquo;assurer la maintenabilit&eacute; du syst&egrave;me,- Mettre en place un moyen pour afficher le tableau de bord en version dynamique dans les ateliers de production.Profil recherch&eacute; Connaissance outils POWER BI et projetmise en &oelig;uvre d'indicateursmise en ligne et adaptation des indicateurspertinence d'indicateurstravail en mode projetd&eacute;ploiement d'un projet multisitesforce de propositionautonomiecomp&eacute;tences p&eacute;dagogiques de d&eacute;ploiement d'outils informatiquesPour postuler1) Candidatez &agrave; l'annonce en remplissant vos coordonn&eacute;es (Nom, Pr&eacute;nom, adresse mail)2) Vous recevrez un mail instantan&eacute;ment afin de compl&eacute;ter votre candidature &agrave; la formation. Attention &agrave; bien consulter les pr&eacute;requis obligatoires de la formation pour acc&eacute;der &agrave; la certification.3) Notre &eacute;quipe de Admissions vous contactera tr&egrave;s vite pour un entretien ",2022-02-26T22:48:27.000Z,2022-02-26T22:48:27.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 12 Mois,False,1,False,01 - Ain,,,,OpenClassrooms, ,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9935544,"[{'nom': 'INZEJOB', 'url': 'https://emploi.inzejob.com/offre-emploi?j=8264092', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/inzejob80.png'}]",,,,,,,,,,,,,,,,"[{'libelle': 'Aucun permis', 'exigence': 'S'}]",,,,,,,,,,,,,,,
