,id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,competences,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,accessibleTH,qualificationCode,qualificationLibelle,secteurActivite,secteurActiviteLibelle,qualitesProfessionnelles,offresManqueCandidats,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.entrepriseAdaptee,salaire.commentaire,salaire.complement1,origineOffre.origine,origineOffre.urlOrigine,entreprise.description,origineOffre.partenaires,salaire.libelle,formations,contact.nom,contact.coordonnees1,contact.commentaire,contact.urlPostulation,complementExercice,deplacementCode,deplacementLibelle,salaire.complement2,langues,permis,entreprise.logo,entreprise.url,contact.courriel
0,128ZFTP,Délégué / Déléguée à la protection des données - Data Protection Officer,"La Fondation LENVAL recherche un(e) Délégué(e) à la protection des données - DPO.

Les missions principales sont :

- Mettre en place un processus continu d'Audit ""RGPD"" des traitements
- Informer, sensibiliser et diffuser une culture dans le cadre général « Informatique et Libertés »
- Mener ou piloter les actions visant à sensibiliser la direction, les agents, aux règles à respecter en matière de protection des données à caractère personnel
- Faire respecter le cadre légal relatif aux données personnelles
- Établir et maintenir une documentation relative aux traitements de données à caractère personnel notamment au moyen d'un registre des traitements
- Recevoir et traiter les réclamations et plaintes des personnes concernées et veiller au strict respect des personnes.
- Effectuer chaque année un rapport aux responsables de traitement.

Savoir être professionnel :
- Travail en équipe
- Autonomie
- Rigueur

Cadre contractuel et financier :
- CDI
- Temps de travail : temps plein
- Le salaire est composé d'un fixe brut annuel+ une prime dite ""décentralisée"" correspondant à 5% du salaire annuel brut (reversée au mois de décembre, sous certaines conditions de présence). A cela peut s'ajouter, l'ancienneté acquise dans d'autres entreprises peut être pour partie reprise et valorisée sous forme d'une prime mensuelle.

Avantages périphériques :
- Carte de parking possible
- Proximité immédiate du Tramway
- Remboursement 100% frais transport en commun
- Mutuelle
- Restauration d'entreprise
- Comité d'entreprise avantageux

Le poste est à pourvoir dès avril 2022. Statut cadre",2022-03-02T10:16:18.000Z,2022-03-02T11:24:05.000Z,K1903,Défense et conseil juridique,Délégué(e) à la protection des données - DPO,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,"[{'code': '115246', 'libelle': ""Veiller au respect de la loi Informatique et Libertés et du RGPD dans l'entreprise, gérer la liste des traitements de données à caractère personnel, faire l'interface avec la Commission Nationale de l'Informatique et des Libertés - CNIL"", 'exigence': 'S'}, {'code': '118732', 'libelle': 'Réaliser une veille documentaire (collecte, analyse etc.)', 'exigence': 'S'}, {'code': '118838', 'libelle': ""Accomplir des démarches auprès d'organismes publics ou privés pour le compte de clients"", 'exigence': 'S'}, {'code': '124532', 'libelle': ""Tenir informée sa structure des nouvelles techniques et réglementations liées à l'activité"", 'exigence': 'S'}, {'code': '140939', 'libelle': 'Mettre en place la documentation du Délégué à la protection des données - Data Protection Officer', 'exigence': 'S'}]",36H40 Horaires normaux,Temps plein,False,1,False,9,Cadre,86,Activités hospitalières,"[{'libelle': 'Travail en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l'aide""}, {'libelle': 'Autonomie', 'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable'}, {'libelle': 'Rigueur', 'description': ""Capacité à respecter les règles et codes de l'entreprise, à réaliser des tâches en suivant avec précision les procédures et instructions fournies , à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction""}]",False,06 - NICE,43.712854,7.253866,06000,06088,FONDATION LENVAL NICE,False,12 mois + prime décentralisée ,Autre,1,https://candidat.pole-emploi.fr/offres/recherche/detail/128ZFTP,,,,,,,,,,,,,,,,,
1,0047043,"Data Analyst F/H - Système, réseaux, données (H/F)","Descriptif du poste:

La Direction Marketing, Relation Client & Assurances de la Caisse Régionale Alpes Provence recherche un/une Data Analyst au sein de son service DATA. Vos missions seront les suivantes :
Assurer la qualité, le traitement et l'analyse des données de l'entreprise et de nos canaux digitaux dans le but d'en extraire de la valeur pour aider l'entreprise à prendre des décisions stratégiques ou opérationnelles.
Contribuer à maintenir et développer un DataWarehouse fiable, agile et sécurisé.
Contrôler la cohérence des données, chiffres, reporting et analyses générés.
Contribuer à une meilleure compréhension des clients et de leurs attentes (desceller de nouvelles segmentation, créer des scores d'appétence.) en lien étroit avec les équipes Marketing.
Créer des outils/processus d'aide à l'analyse et au pilotage d'activités et proposer des améliorations sur les outils/processus existants.
Analyser les résultats de nos actions Marketing et produire des extractions et des rapports statistiques à destination de nos Conseillers, Managers et Direction.
Participer, et à moyen terme, piloter différents projets Data au sein de la Caisse Régionale.

Profil recherché:

Diplômé d'un Bac + 5 en Informatique/Statistiques, vous possédez une expérience professionnelle de minimum 2 ans en tant que Data Analyst, idéalement dans le secteur de l'assurance ou de la banque.
Très bonne maitrise du langage SQL (SAS, Python, R ainsi que la connaissance de l'écosystème Hadoop/Spark serait un plus)
Vous êtes passionné(e) par les données, le digital et à l'écoute du monde open source en vue de l'utilisation de nouvelles technologies/algorithmes.
Autonome, vous avez l'esprit d'équipe et faites preuve d'adaptabilité.
Rigoureux(se), Enthousiaste, avec un sens développé du contact et du service client. ",2022-03-02T06:43:51.000Z,2022-03-02T06:43:51.000Z,M1805,Études et développement informatique,Analyste réseau informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),,,,False,1,False,8,Agent de maîtrise,64,Autres intermédiations monétaires,,,13 - AIX EN PROVENCE,43.546605,5.402549,,13001,CREDIT AGRICOLE ALPES PROVENCE,False,35 - 40 k€ brut annuel,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0047043,"\nDepuis plus de 100 ans au service des départements des Bouches-du-Rhône, des Hautes-Alpes et du Vaucluse, le Crédit Agricole Alpes Provence est aujourd'hui un acteur majeur au service du développement économique durable du territoire. Nos emplois et centres de décision sont sur le territoire, notre siège social est à Aix-en-Provence, pour agir en proximité et de manière autonome.\nNos résultats sont réinvestis sur le territoire et l'épargne de nos clients sert à financer les... ","[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167757491W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",,,,,,,,,,,,,,,
2,9996729,"Ingénieur Etude et Développement Big Data F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Aujourd'hui, nous recrutons un Ingénieur Etude et Développement Java (H/F) afin d'intervenir dans un projet Big Data.
Intégré(e) à l'équipe programmation, vous contribuerez à :
* L'analyse des besoins utilisateurs
* L'analyse du besoin et la conception fonctionnelle,
* L'élaboration des spécifications techniques,
* Le développement et les tests unitaires,
* La mise en place d'environnement de développement Big Data,
* L'évolution de l'architecture en fonction des problématiques techniques rencontrées.

Profil recherché:

De formation Bac+5 en informatique en école d'ingénieur ou cursus universitaire, vous justifiez d'une première expérience sur un poste de programmation Java en environnement Big Data comportant de grandes quantités de données  et vous avez une bonne connaissance de l'environnement Hadoop.
Un attrait pour le développement multiplateforme et une expérience en Cloud Computing serait appréciée.
Au-delà des compétences, nous recherchons une personne passionnée par le domaine, qui aime être au fait des dernières actualités dans son domaine et sait proposer des solutions innovantes. Votre rigueur et votre goût pour le travail en équipe, associés à la qualité des projets qui nous sont confiés, offrent de réelles opportunités d'évolution à votre carrière au sein d'AUSY.  ",2022-03-01T06:50:24.000Z,2022-03-01T06:50:24.000Z,M1805,Études et développement informatique,Ingénieur / Ingénieure d'étude et développement informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,False,1,False,9,Cadre,62,Conseil en systèmes et logiciels informatiques,,,06 - VALBONNE,43.627341,7.016557,,06152,AUSY,False,33 - 45 k€ brut annuel,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9996729,"\nAUSY, groupe français fondé en 1989, est l'un des principaux leaders européens du Conseil et de l'ingénierie en Hautes technologies. Aujourd'hui, AUSY emploie plus de 6500 collaborateurs sur plus de cinquante sites, avec une forte présence en Europe et aux Etats-Unis.\nAUSY se positionne en tant que partenaire de référence dans le pilotage de projets d'envergure et accompagne de grandes entreprises à l'international. L'offre de services du Groupe est complète. Elle allie conseil e... ","[{'nom': 'APEC', 'url': 'https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/167527699W?xtor=AL-406', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/apec80.png'}]",,,,,,,,,,,,,,,
3,0020001,Data Engineer (H/F),"RESPONSABILITÉS : 

Descriptif du poste Mission 1 : Acheminement de la donnée  - Recueillir les besoins métiers des différentes unités demandeuses et utilisatrices de solutions de collecte et stockage de la donnée.
 - Développer les solutions techniques de collecte de la donnée via des API.
 - Développer des solutions techniques de stockage de la donnée (Hadoop).
 - Réaliser les tests unitaires et d'intégration.
 - Mettre en place et maintenir les batchs, c'est-à-dire les automatisations d'une série de traitements.
Mission 2 : Mise à disposition des données aux équipes utilisatrices  - Industrialiser et automatiser le nettoyage de la donnée selon les spécifications retenues.
 - Gérer, maintenir et documenter de multiples bases de données (via l'importation de données externes en open data ou de données internes par exemple).
 - Gérer le cycle de vie de la donnée conformément aux directives inscrites dans le RGPD.
 - Assurer le suivi de production et la maintenance.
Mission 3 : Mise en production de modèles statistiques dans les applications  - Développer l'industrialisation de modèles statistiques ou de machine learning.
 - Implémentation du suivi de la validité du modèle statistique.
 - Assurer le suivi de production et la maintenance.
Mission 4 : Suivi des projets de développement  - Établir les spécifications techniques à partir de l'analyse des besoins.
 - Reporter l'activité auprès du chef de projet.

PROFIL RECHERCHÉ : 

Savoir  - Master 2 en informatique, en data science, ou en statistiques INDISPENSABLE
 - École d'ingénieurs en informatique, en data science, ou en statistiques INDISPENSABLE
Savoir Faire  - Maîtrise de l'environnement Hadoop/Hive/Spark (que ce soit en local ou dans le cloud) INDISPENSABLE
 - Maîtrise des bases de données et gestion de bases de données (SQL/NoSQL) INDISPENSABLE
 - Maîtrise de langages de programmation (C++, Scala, Java, Python.) INDISPENSABLE
 - Maîtrise les méthodes de développement agile INDISPENSABLE
 - Connaissance de la réglementation concernant les données personnelles et des principes de cybersécurité INDISPENSABLE
 - Maîtrise des systèmes d'exploitation (Unix, Windows.) INDISPENSABLE
 - Connaissance des solutions de manipulation des données ETL/LET SOUHAITÉ
Savoir Être  - Esprit d'équipe INDISPENSABLE
 - Sens du délai et des résultats INDISPENSABLE
 - Organisation INDISPENSABLE
 - Rigueur INDISPENSABLE
 - Curiosité sectorielle et goût pour l'innovation INDISPENSABLE ",2022-03-01T17:53:53.000Z,2022-03-01T17:53:53.000Z,M1805,Études et développement informatique,Analyste décisionnel - Business Intelligence,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,35 H  Horaires normaux,Temps plein,False,2,False,9,Cadre,,,,,06 - BIOT,43.628198,7.084843,,06018,AUTOMATA,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0020001,"Automata, start-up en plein croissance dans le domaine de la Fintech, développe l'application bancaire digitale « Akt » réunissant l'univers de la finance décentralisée, les investissements innovants, un compte épargne révolutionnaire, la gestion de patrimoine et les solutions de paiement sur une seule et même plateforme.
Plus besoin de multiplier les comptes et de jongler entre un compte courant pour les dépenses du quotidien, une application pour les cagnottes en ligne ou ... ","[{'nom': 'BEETWEEN', 'url': 'https://emploi.beetween.com/apply/job/l3x8tfsg7c8/data-engineer', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/beetween80.png'}]",,,,,,,,,,,,,,,
4,0015981,BIG DATA DEVEL H/F,"Directement rattaché à l'échelon central de la marine, le centre d'expertise des programmes navals (CEPN) a pour mission principale d'assurer auprès de la marine l'expertise technico-opérationnelle permettant de spécifier et suivre les développements et les mises au point des matériels destinés aux forces de surface et sous-marine. Au sein du CEPN, le titulaire du poste assure le développement logiciel, par la maîtrise de langage de programmation et des API spécialisées dans le Big Data pour développer des briques applicatives qui vont compléter une plateforme de traitement massivement parallèle. Il sait faire du développement distribué, de la coordination de service, gérer la tolérance aux pannes, rendre un système cohérent, etc. Il analyse, paramètre et code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures. Développeur agile, il travaille en mise en œuvre itérative à partir du backlog projet par des sprints successifs permettant de mettre en avant l'avancement et de prendre en compte les retours des utilisateurs.

Les activités principales du poste sont:
Analyser techniquement et étudier dans le détail les besoins utilisateurs en vue de prototypage 
Élaborer les jeux d'essais pour les tests unitaires et les tests d'intégration et effectuer les tests 
Développer les codes et modules, assembler les composants logiciels et rédiger les documentations 
Prendre en charge la maintenance corrective et évolutive ",2022-03-01T17:40:48.000Z,2022-03-01T17:40:48.000Z,M1805,Études et développement informatique,Concepteur / Conceptrice d'application informatique,CDD,Contrat à durée déterminée - 36 Mois,Contrat travail,E,Expérience exigée de 2 An(s),,,,False,1,False,,,,,,,83 - Var,,,,,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/0015981,Ministère des Armées - Central ,"[{'nom': 'PEP', 'url': 'https://place-emploi-public.gouv.fr/offre-emploi/2022-826791', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/pep80.png'}]",,,,,,,,,,,,,,,
5,9974495,Contrôleur de gestion Data Management H/F,"Contrôleur de gestion Data Management H/F

En bref : Proche Aix-en-Provence - CDI - Contrôleur de gestion Data Management H/F

Adsearch est une société de conseil en recrutement spécialisé. Aujourd'hui, ce sont plus d'une centaine de consultants répartis dans 12 Divisions expertes et 11 Bureaux dans les plus grandes villes françaises qui accompagnent 1500 clients de toutes tailles (PME, ETI et Groupes internationaux).

 

Nous recrutons pour l'un de nos clients, société internationale, basée à Marseille qui cherche à renforcer son équipe Finance en recrutant un Contrôleur de gestion Data Management pour une création de poste.

 

 * Missions :

 

 * S'assurer que les données pour le CDG sont informatiquement valides ( 50%)
 * Contrôle de gestion classique avec le responsable du contrôle de gestion
 * Participer aux Budgets, Forecast et Reportings (clôtures) mensuelles
 * Être leader sur les améliorations lié à la digitalisation au niveau du contrôle de gestion
 * Étude et chiffrage de projet basé sur une spécification fonctionnelle / User Story
 * Développement de solutions fiables et performantes dans le respect du besoin fonctionnel
 * Réalisation de documentation technique sur l'existant ou de nouveaux modules
 * Participation à la mise en place de SAP

 

Votre profil :

Vous avez une première expérience réussie en contrôle de gestion avec des appétences pour le domaine IT ou une expérience en contrôle de gestion avec de solides bases de reporting et de développement informatique.

Ce qu'on vous propose :

 

- Société en croissance

- Poste à pourvoir immédiatement en création

 

 

Bien sûr, on vous garantit une confidentialité totale pour toute la durée du process.

Alors, prêt(e) à démarrer votre activité avec nous ? Postulez et venez rencontrer Damien ! ",2022-02-28T21:48:50.000Z,2022-02-28T21:48:50.000Z,M1204,Contrôle de gestion,Contrôleur / Contrôleuse de gestion,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,False,1,False,9,Cadre,,,,,13 - MARSEILLE 13,43.282,5.405,,13213,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9974495, ,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/56b674a4350a3ceb48de7c8df61df343', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,,,,,,,,,,
6,9974322,Data Science and Marketing Project Manager (IT) (H/F),"Sous la responsabilité du Chief Data & Technology Officer et au sein d'une équipe de 4 collaborateurs, vous travaillez en support à toutes les marques du groupe. Vous entretenez de fortes relations fonctionnelles avec le Group Marketing Director.
Votre mission principale consiste à piloter les projets d'implémentations puis d'assurer la pérennité des outils Data Marketing (CDP, Web tracking ) du groupe. Vous jouez un rôle de facilitateur entre les différentes marques pour permettre une collaboration fluide et le choix des meilleurs outils.
La dynamique du secteur de l'hôtellerie de plein air apporte une variété de projets et des défis à relever au sein d'une équipe et innovante, ce qui rend ce métier d'autant plus intéressant. ",2022-02-28T21:48:22.000Z,2022-02-28T21:48:22.000Z,M1803,Direction des systèmes d'information,Chef de projet informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,False,1,False,9,Cadre,,,,,13 - AIX EN PROVENCE,43.546605,5.402549,,13001,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9974322, ,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/bba4be2634b6e6fe296a774a7f4193fc', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,,,,,,,,,,
7,9969418,DATA ANALYST (IT) (H/F),"Recherche: DATA ANALYST (IT) (H/F)
HN Services recrute sur Aix, un Data Analyste afin d'apporter son expertise dans l'ensemble des phases projet pour effectuer les analyses en phase think, les études ad-hoc et mise en forme KPI sur PowerBI
Ta mission
Identifier, regrouper et qualifier l'ensemble des donnéesConcevoir les tableaux de bord de pilotage de l'activité; réaliser les extractions de données des systèmes d'information; analyser et commenter les données utiles à l'appréciation de la performanceDéfinir les approches et participer à la définition des outils permettant d'identifier; extraire et exploiter ces données; proposer de nouveaux modèles d'analyse; identifier des indicateurs permettant de faciliter la prise de décisionOptimiser la gestion des données : processus de recueil des informations, gestion des flux, vérification des données; transmission des données; mise en formeEtre en relation permanente avec les interlocuteurs métiers et avoir la capacité de comprendre le... ",2022-02-28T20:18:23.000Z,2022-02-28T20:18:23.000Z,M1403,Études et prospectives socio-économiques,Data analyst,LIB,Profession libérale,Emploi non salarié,D,Débutant accepté,,,,False,1,False,,,,,,,13 - AIX EN PROVENCE,43.546605,5.402549,,13001,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9969418, ,"[{'nom': 'JOBINTREE', 'url': 'https://www.jobintree.com/offre-emploi/carriere-info-7952/data-analyst-it-43271425?utm_source=pole-emploi&utm_medium=flux-offres&utm_campaign=partenaire', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobintree80.png'}]",,,,,,,,,,,,,,,
8,9964959,CONSULTANT MASTER DATA MANAGEMENT (H/F),"Recherche: CONSULTANT MASTER DATA MANAGEMENT (H/F)
Au sein de Micropole, nous vousproposons de rejoindre notre International Delivry & Expertise Agency baséà Aix-en-Provence (zone « Les Milles »), où vous interviendrez sur l'ensembledes phases d'un projet Data Governance. En tant que Consultant MDM (Master DataManagement), vous serez rattaché(e) à l'équipe Data Governance &Architecture, composée de 15 #InnovativePeople.
Au quotidien, vous aurez les responsabilités suivantes : 
Recueildes besoins client,Animationet participation aux workshops,Rédactiondes spécifications fonctionnelles et/ou techniques,Paramétragedes solutions éditeurs et développement de modules spécifiques,Modélisationdes référentiels et des processus associés.
Votre Talent comme valeur ajoutée :
Une expérience d'au moins 2 ans vous garantit lamise en œuvre de projet JAVA JEE et la maîtrise d'outils de référentiel dedonnées (EBX Orchestra ou MDM CS par exemple),Vous possédez une certaine adaptabilité ce qui vous... ",2022-02-28T17:43:59.000Z,2022-02-28T17:43:59.000Z,M1806,Conseil et maîtrise d'ouvrage en systèmes d'information,Consultant / Consultante informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,False,1,False,,,,,,,13 - AIX EN PROVENCE,43.546605,5.402549,,13001,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9964959, ,"[{'nom': 'JOBINTREE', 'url': 'https://www.jobintree.com/offre-emploi/aix-pole-gouvernance-donnees-7800/consultant-master-data-management-43311832?utm_source=pole-emploi&utm_medium=flux-offres&utm_campaign=partenaire', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobintree80.png'}]",,,,,,,,,,,,,,,
9,9886843,Producto Owner Data (H/F) (IT),"Dans le cadre de notre croissance, nous sommes à la recherche d'un Product Owner DATA (H/F). Votre mission consiste à assurer la responsabilité du contenu fonctionnel et technique des projets DATA.
Chef de projet technique en mode agile, vous avez la charge de répondre aux besoins des clients de différents secteurs sur la livraison de dispositifs Data (Datalake, Dataqualité, Datamanagement). Vous serez le lien entre les clients et l'équipe de développement. 
Au sein des équipes, vous êtes coresponsable, de la conception du projet, de la gestion des plannings et le premier responsable de la qualité du projet délivré. ",2022-02-26T08:03:25.000Z,2022-02-26T08:03:25.000Z,M1703,Management et gestion de produit,Chef de produit Internet,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,False,1,False,9,Cadre,,,,,06 - NICE,43.712854,7.253866,,06088,,False,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/9886843, ,"[{'nom': 'JOBIJOBA', 'url': 'https://www.jobijoba.com/fr/annonce/26/edf2e6ee50be61868dee48f80919d652', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/jobijoba80.png'}]",,,,,,,,,,,,,,,
